gtyp_SSC.Horizontal_Axis.di_Increment,IX_SSC_LightBarrierOutsourcing_I4,gtyp_VGR.rotate_Axis.di_Actual_Position,gtyp_Interface_Dashboard.Publish.PosPanTiltUnit.s_cmd,gtyp_SSC.Vertical_Axis.x_Reference,gtyp_SSC.Vertical_Axis.x_Referenced,gtyp_SSC.Vertical_Axis.di_Actual_Position,gtyp_VGR.horizontal_Axis.x_Reference,gtyp_VGR.horizontal_Axis.x_Referenced,gtyp_VGR.di_Pos_Park_vertical,gtyp_SSC.di_Pos_Park_Horizontal,gtyp_SSC.Horizontal_Axis.Config.di_Neg_Soft_Switch,gtyp_HBW.x_HBW_PickedUp_Accepted,IX_MPO_RefSwitchOvenFeederOutside_I7,gtyp_VGR.di_Pos_NiO_rotate,gtyp_VGR.x_Park_Position_Reached,gtyp_MPO.x_Error,gtyp_HBW.x_HBW_Container_Available,gtyp_SSC.x_Start_Park_Position,IX_MPO_LightBarrierOven_I9,gtyp_VGR.rotate_Axis.x_Position_Reached,gtyp_VGR.x_HBW_Outsource,gtyp_VGR.di_Pos_HBW_Discard_vertical,gtyp_SSC.Vertical_Axis.x_Start_Positioning,gtyp_HBW.Vertical_Axis.x_Reference,gtyp_HBW.Vertical_Axis.x_Referenced,gtyp_SSC.di_Pos_HBW_Horizontal,gtyp_VGR.rotate_Axis.di_Increment,gtyp_HBW.Horizontal_Axis.x_Position_Reached,gtyp_HBW.di_PosBelt_Horizontal,gtyp_VGR.di_Pos_DSO_Discard_vertical,gtyp_VGR.di_Pos_HBW_horizontal,gtyp_VGR.rotate_Axis.i_PWM,gtyp_Interface_TXT_Controler.Subscribe.State_NFC_Device.Workpiece.s_type,gtyp_SSC.Vertical_Axis.Config.di_Neg_Soft_Switch,gtyp_Setup.x_Clean_Rack_HBW,gtyp_HBW.Vertical_Axis.di_Target_Position,gtyp_SSC.di_Pos_Centre_Horizontal,gtyp_VGR.di_Pos_MPO_rotate,gtyp_SSC.Horizontal_Axis.di_Target_Position,gtyp_VGR.vertical_Axis.i_PWM,gtyp_VGR.di_Pos_Park_rotate,gtyp_VGR.vertical_Axis.x_Reference,gtyp_VGR.vertical_Axis.x_Referenced,gtyp_VGR.di_Pos_NiO_horizontal,IX_SSC_RefSwitchHorizontalAxis_I2,gtyp_Setup.x_Set_Pos_Activ,gtyp_VGR.di_Offset_Pos_MPO_vertical,gtyp_VGR.horizontal_Axis.di_Actual_Position,gtyp_MPO.x_Discard_Ready,gtyp_VGR.rotate_Axis.x_Referenced,IX_SSC_LightBarrierStorage_I3,gtyp_VGR.di_Pos_DSO_rotate,gtyp_VGR.di_Pos_Park_horizontal,gtyp_Setup.x_Color_Sensor_Calibration,gtyp_HBW.Vertical_Axis.Config.di_Pos_Window,gtyp_VGR.rotate_Axis.Config.di_Pos_Window,gtyp_HBW.Vertical_Axis.di_Increment,gtyp_HBW.x_HBW_Discards_Accepted,gtyp_HBW.Horizontal_Axis.di_Target_Position,gtyp_VGR.horizontal_Axis.x_Start_Positioning,gtyp_HBW.Vertical_Axis.x_Start_Positioning,IX_Set_Park_Position,gtyp_VGR.di_Pos_MPO_horizontal,gtyp_HBW.Vertical_Axis.i_PWM,gtyp_VGR.rotate_Axis.x_Reference,gtyp_VGR.rotate_Axis.x_Referenced,gtyp_VGR.x_HBW_PickedUp,QX_VGR_ValveVacuum_Q8,gtyp_VGR.x_Start_Park_Position,gtyp_SSC.Vertical_Axis.x_Referenced,gtyp_VGR.di_Pos_DSI_Collect_vertical,gtyp_HBW.Horizontal_Axis.di_Actual_Position,gtyp_HBW.Horizontal_Axis.Config.di_Pos_Window,gtyp_VGR.di_Pos_NFC_rotate,gtyp_HBW.Horizontal_Axis.i_PWM,gtyp_HBW.Horizontal_Axis.x_Reference,gtyp_HBW.Horizontal_Axis.x_Referenced,gtyp_HBW.Vertical_Axis.x_Position_Reached,gtyp_VGR.x_NFC_Start_First,gtyp_HBW.Vertical_Axis.x_Referenced,gtyp_HBW.di_Offset_Pos_Rack_Vertical,gtyp_VGR.x_MPO_Discards,gtyp_VGR.vertical_Axis.Config.di_Pos_Window,gtyp_VGR.x_Ready_For_Outsource,IX_MPO_RefSwitchOvenFeederInside_I6,gtyp_VGR.di_Pos_DSI_horizontal,gtyp_VGR.vertical_Axis.di_Target_Position,gtyp_VGR.rotate_Axis.di_Target_Position,gtyp_VGR.di_Pos_NFC_vertical,gtyp_SSC.di_Pos_HBW_Vertical,gtyp_SSC.Vertical_Axis.i_PWM,gtyp_HBW.di_Offset_Pos_Belt_Vertical,gtyp_VGR.rotate_Axis.x_Start_Positioning,gtyp_SSC.Vertical_Axis.Config.di_Pos_Window,gtyp_VGR.x_NFC_Completed,gtyp_VGR.di_Pos_NFC_horizontal,gtyp_SSC.Vertical_Axis.di_Increment,gtyp_VGR.di_Pos_NiO_vertical,gtyp_VGR.vertical_Axis.x_Referenced,gtyp_SSC.Vertical_Axis.Config.di_Pos_Soft_Switch,gtyp_HBW.di_Pos_Park_Vertical,IX_HBW_LightBarrierOutside_I3,gtyp_SSC.Horizontal_Axis.di_Actual_Position,gtyp_VGR.horizontal_Axis.di_Increment,gtyp_VGR.vertical_Axis.di_Actual_Position,gtyp_VGR.x_Workpiece_NiO,gtyp_SSC.Horizontal_Axis.x_Position_Reached,gtyp_VGR.horizontal_Axis.di_Target_Position,gtyp_Interface_TXT_Controler.Subscribe.State_NFC_Device.Workpiece.s_state,gtyp_VGR.di_Pos_HBW_rotate,gtyp_VGR.horizontal_Axis.x_Referenced,gtyp_SSC.x_Park_Position_Reached,gtyp_VGR.vertical_Axis.x_Position_Reached,gtyp_VGR.di_Pos_MPO_vertical,gtyp_SSC.Horizontal_Axis.i_PWM,gtyp_SSC.Horizontal_Axis.x_Start_Positioning,gtyp_Setup.i_Color_Sensor_Selection,gtyp_HBW.di_Pos_Park_Horizontal,gtyp_SSC.di_Pos_Centre_Vertical,gtyp_Setup.x_Counter_Value_Calibration,gtyp_Setup.x_Park_Position,gtyp_VGR.di_Offset_Pos_DSI_NFC_vertical,gtyp_SSC.Horizontal_Axis.Config.di_Pos_Soft_Switch,gtyp_VGR.horizontal_Axis.i_PWM,gtyp_Setup.i_Pos_Selection,gtyp_HBW.di_PosBelt_Vertical,gtyp_HBW.x_Start_Park_Position,gtyp_VGR.di_Pos_Color_rotate,gtyp_SSC.di_Pos_Park_Vertical,gtyp_HBW.Horizontal_Axis.x_Referenced,gtyp_SSC.Horizontal_Axis.x_Referenced,gtyp_VGR.horizontal_Axis.x_Position_Reached,IX_SSC_RefSwitchVerticalAxis_I1,gtyp_SSC.Vertical_Axis.x_Position_Reached,gtyp_Interface_Dashboard.Subscribe.State_Order.s_state,IX_MPO_LightBarrierEndOfConBelt_I3,QX_SSC_LED_Green_Q5,gtyp_VGR.vertical_Axis.x_Start_Positioning,gtyp_VGR.di_Pos_HBW_Collect_vertical,gtyp_VGR.x_State_Process,gtyp_VGR.horizontal_Axis.Config.di_Pos_Window,gtyp_VGR.di_Pos_Color_horizontal,gtyp_SSC.Vertical_Axis.di_Target_Position,gtyp_MPO.x_MPO_Discards_Accepted,gtyp_SSC.Horizontal_Axis.x_Reference,gtyp_SSC.Horizontal_Axis.x_Referenced,gtyp_VGR.vertical_Axis.di_Increment,gtyp_VGR.di_Pos_Color_vertical,gtyp_VGR.x_NFC_Start,gtyp_VGR.x_NFC_Start_First,gtyp_Interface_TXT_Controler.Subscribe.State_NFC_Device.Workpiece.s_id,gtyp_VGR.di_Pos_DSO_horizontal,gtyp_HBW.Horizontal_Axis.x_Start_Positioning,gtyp_SSC.Horizontal_Axis.Config.di_Pos_Window,gtyp_HBW.x_Park_Position_Reached,gtyp_HBW.Vertical_Axis.di_Actual_Position,gtyp_VGR.di_Pos_DSI_rotate,gtyp_HBW.Horizontal_Axis.di_Increment
-22338,True,0,,True,False,-1,False,True,3000,3000,0,False,False,1100,False,False,False,False,True,False,False,200,False,False,True,5400,0,False,18,1480,600,500,,0,False,2800,3000,3500,0,800,1750,False,True,0,False,False,650,0,False,True,True,970,150,False,15,15,0,False,18,False,False,False,3400,600,False,True,False,False,False,False,2950,0,15,700,700,False,True,False,False,True,370,False,15,True,True,20,2450,700,2450,950,1000,370,False,25,False,900,-1,2700,True,3000,3200,True,-22163,0,0,False,False,900,,5350,True,False,False,1800,1000,False,0,600,1400,False,False,1200,5450,500,0,2800,False,430,200,True,False,False,False,False,WAITING_FOR_ORDER,True,True,False,650,False,15,150,0,False,True,False,0,2450,False,False,,2070,False,25,False,0,30,0
24728,True,0,,True,False,-1,False,True,3000,3000,0,False,False,1100,False,False,False,False,True,False,False,200,False,False,True,5400,0,False,18,1480,600,500,,0,False,2800,3000,3500,0,800,1750,False,True,0,False,False,650,0,False,True,True,970,150,False,15,15,0,False,18,False,False,False,3400,600,False,True,False,True,False,False,2950,0,15,700,700,False,True,False,False,True,370,False,15,True,True,20,2450,700,2450,950,1000,370,False,25,False,900,-1,2700,True,3000,3200,True,24857,0,0,False,False,900,,5350,True,False,False,1800,1000,False,0,600,1400,False,False,1200,5450,500,0,2800,False,430,200,True,False,False,False,False,WAITING_FOR_ORDER,True,False,False,650,False,15,150,0,False,True,False,0,2450,False,False,,2070,False,25,False,0,30,0
3919,True,695,,True,False,-1,False,True,3000,3000,0,False,False,1100,False,False,False,False,True,True,False,200,False,False,True,5400,695,True,18,1480,600,500,NONE,0,False,2800,3000,3500,0,800,1750,False,True,0,False,False,650,896,False,True,True,970,150,False,15,15,2800,False,18,False,True,False,3400,600,False,True,False,True,False,False,2950,20,15,700,700,False,True,False,False,True,370,False,15,False,True,20,2450,700,2450,950,1000,370,False,25,False,900,-1,2700,True,3000,3200,False,4054,896,2460,False,False,900,RAW,5350,True,False,True,1800,1000,False,0,600,1400,False,False,1200,5450,500,0,2800,False,430,200,True,False,True,False,False,WAITING_FOR_ORDER,True,False,False,650,False,15,150,0,False,True,False,2460,2450,False,False,04855c92186580,2070,False,25,False,2650,30,20
-15427,True,1616,,True,False,-1,True,False,3000,3000,0,False,False,1100,False,False,True,False,True,False,False,200,False,False,True,5400,1670,True,18,1480,600,500,BLUE,0,False,2800,3000,3500,0,800,1750,False,True,0,False,False,650,183,False,True,True,970,150,False,15,15,2800,False,18,False,False,False,3400,600,False,True,False,False,False,False,2950,20,15,700,700,False,True,True,False,True,370,False,15,False,True,20,1250,5350,2450,950,1000,370,True,25,False,900,-1,2700,True,3000,3200,True,-15333,88,0,False,False,900,RAW,5350,False,False,False,1800,1000,False,0,600,1400,False,False,1200,5450,500,0,2800,False,430,200,True,False,False,False,False,WAITING_FOR_ORDER,True,False,False,650,False,15,150,0,False,True,False,0,2450,False,False,04855c92186580,2070,False,25,False,2800,30,20
31534,True,3854,,True,False,-1,False,True,3000,3000,0,False,False,1100,False,False,False,False,True,False,False,200,False,False,True,5400,3782,True,18,1480,600,500,BLUE,0,False,2880,3000,3500,0,800,1750,False,True,0,False,False,650,0,False,False,True,970,150,False,15,15,2876,True,2870,False,False,False,3400,600,True,False,False,False,False,False,2950,2871,15,700,700,False,True,True,False,True,370,False,15,True,True,20,200,5350,2450,950,1000,370,False,25,False,900,-1,2700,True,3000,3200,True,31631,0,0,False,False,600,RAW,5350,True,False,False,1800,1000,False,0,600,1400,False,False,1200,5450,500,0,2800,False,430,200,True,False,False,False,False,WAITING_FOR_ORDER,True,False,False,650,False,15,150,0,False,True,False,0,2450,False,False,04855c92186580,2070,False,25,False,2876,30,2871
12872,False,0,,True,False,-1,False,True,3000,3000,0,False,False,1100,False,False,False,False,True,False,False,200,False,False,True,5400,0,False,18,1480,600,500,,0,False,3250,3000,3500,0,800,1750,False,True,0,False,False,650,0,False,True,True,970,150,False,15,15,0,True,2870,False,False,False,3400,600,False,True,False,False,False,False,2950,0,15,700,700,False,True,False,False,True,370,False,15,True,True,20,200,5350,2450,950,1000,370,False,25,False,900,-1,2700,True,3000,3200,True,13069,0,0,False,False,600,,5350,True,False,False,1800,1000,False,0,600,1400,False,False,1200,5450,500,0,2800,False,430,200,True,False,False,False,False,WAITING_FOR_ORDER,True,False,False,650,False,15,150,0,False,True,False,0,2450,False,False,,2070,False,25,False,0,30,0
-6394,True,22,,True,False,-1,False,True,3000,3000,0,False,False,1100,False,False,False,False,True,True,False,200,False,False,True,5400,22,True,18,1480,600,500,NONE,0,False,400,3000,3500,0,800,1750,False,True,0,False,False,650,14,False,True,True,970,150,False,15,15,403,True,5200,False,False,False,3400,600,False,True,False,True,False,False,2950,5202,15,700,700,False,True,True,False,True,370,False,15,False,True,20,2950,30,2450,950,1000,370,False,25,False,900,-1,2700,True,3000,3200,True,-6095,14,2959,False,False,20,RAW,5350,True,False,True,1800,1000,False,0,600,1400,False,False,1200,5450,500,0,2800,False,430,200,True,False,True,False,False,WAITING_FOR_ORDER,True,False,False,650,False,15,150,0,False,True,False,2959,2450,False,False,049d5c92186580,2070,False,25,False,403,30,5202
-26782,True,432,,True,False,-1,False,True,3000,3000,0,False,False,1100,False,False,True,False,True,True,False,200,False,False,True,5400,432,True,18,1480,600,500,BLUE,0,False,2800,3000,3500,0,800,1750,False,True,0,False,False,650,154,False,True,True,970,150,False,15,15,2800,True,18,False,False,False,3400,600,False,True,False,True,False,False,2950,17,15,700,700,False,True,True,False,True,370,False,15,False,True,20,1250,430,2450,950,1000,370,False,25,False,900,-1,2700,True,3000,3200,False,-26692,154,2113,False,False,150,RAW,5350,True,False,False,1800,1000,False,0,600,1400,False,False,1200,5450,500,0,2800,False,430,200,True,False,True,False,False,WAITING_FOR_ORDER,True,False,True,650,False,15,150,0,False,True,False,2027,2450,False,False,049d5c92186580,2070,False,25,False,2800,30,17
20420,True,4677,,True,False,-1,False,True,3000,3000,0,False,False,1100,False,False,True,False,True,False,False,200,False,False,True,5400,4745,True,18,1480,600,500,BLUE,0,False,2800,3000,3500,0,800,1750,False,True,0,False,False,650,0,False,True,True,970,150,False,15,15,2800,True,18,False,False,False,3400,600,False,True,False,False,False,False,2950,17,15,700,700,False,True,True,False,True,370,False,15,False,True,20,1250,5350,2450,950,1000,370,True,25,False,900,-1,2700,True,3000,3200,True,20533,0,0,False,False,900,RAW,5350,True,False,False,1800,1000,False,0,600,1400,False,False,1200,5450,500,0,2800,False,430,200,True,False,False,False,False,WAITING_FOR_ORDER,True,False,False,650,False,15,150,0,False,True,False,0,2450,False,False,049d5c92186580,2070,False,25,False,2800,30,17
822,True,-21,,True,False,-1,False,True,3000,3000,0,False,False,1100,False,False,False,False,True,False,False,200,False,True,False,5400,0,False,18,1480,600,500,BLUE,0,False,400,3000,3500,0,800,1750,False,True,0,False,False,650,0,False,True,True,970,150,False,15,15,114,True,5200,False,False,False,3400,600,False,True,False,False,False,False,2950,5060,15,700,700,True,False,False,False,False,370,False,15,True,True,20,200,5350,2450,950,1000,370,False,25,False,900,-1,2700,True,3000,3200,True,1006,0,0,False,False,600,RAW,5350,True,False,False,1800,1000,False,0,600,1400,False,False,1200,5450,500,0,2800,False,430,200,False,False,False,False,False,WAITING_FOR_ORDER,True,True,False,650,False,15,150,0,False,True,False,0,2450,False,False,049d5c92186580,2070,False,25,False,241,30,4982
