QX_VGR_M3_RotateCounterclockwise_Q6,gtyp_VGR.vertical_Axis.di_Actual_Position
FALSE,0
TRUE,2222
FALSE,198
FALSE,2446
FALSE,1486
FALSE,1250
FALSE,380
FALSE,1246
FALSE,0
FALSE,2449
FALSE,0
FALSE,1250
FALSE,1002
FALSE,0
FALSE,0
FALSE,0
TRUE,1335
FALSE,2448
FALSE,1494
TRUE,2446
FALSE,2679
FALSE,1778
FALSE,0
FALSE,2444
FALSE,1925
FALSE,0
TRUE,2446
FALSE,1249
FALSE,0
FALSE,0
FALSE,0
FALSE,0
FALSE,2997
FALSE,0
FALSE,0
FALSE,2446
FALSE,347
FALSE,2448
FALSE,2997
FALSE,0
FALSE,0
FALSE,0
FALSE,1583
FALSE,2449
TRUE,0
FALSE,0
TRUE,1695
TRUE,1700
FALSE,0
FALSE,0
FALSE,0
TRUE,2653
TRUE,0
FALSE,1286
FALSE,0
FALSE,0
TRUE,0
TRUE,0
FALSE,1251
FALSE,0
FALSE,0
FALSE,1618
FALSE,2014
FALSE,0
FALSE,0
