gtyp_SSC.Horizontal_Axis.di_Increment,IX_SSC_LightBarrierOutsourcing_I4,gtyp_VGR.rotate_Axis.di_Actual_Position,gtyp_Interface_Dashboard.Publish.PosPanTiltUnit.s_cmd,gtyp_SSC.Vertical_Axis.x_Reference,gtyp_SSC.Vertical_Axis.x_Referenced,gtyp_SSC.Vertical_Axis.di_Actual_Position,gtyp_VGR.horizontal_Axis.x_Reference,gtyp_VGR.horizontal_Axis.x_Referenced,gtyp_VGR.di_Pos_Park_vertical,gtyp_SSC.di_Pos_Park_Horizontal,gtyp_SSC.Horizontal_Axis.Config.di_Neg_Soft_Switch,gtyp_HBW.x_HBW_PickedUp_Accepted,IX_MPO_RefSwitchOvenFeederOutside_I7,gtyp_VGR.di_Pos_NiO_rotate,gtyp_VGR.x_Park_Position_Reached,gtyp_MPO.x_Error,gtyp_HBW.x_HBW_Container_Available,gtyp_SSC.x_Start_Park_Position,IX_MPO_LightBarrierOven_I9,gtyp_VGR.rotate_Axis.x_Position_Reached,gtyp_VGR.x_HBW_Outsource,gtyp_VGR.di_Pos_HBW_Discard_vertical,gtyp_SSC.Vertical_Axis.x_Start_Positioning,gtyp_HBW.Vertical_Axis.x_Reference,gtyp_HBW.Vertical_Axis.x_Referenced,gtyp_SSC.di_Pos_HBW_Horizontal,gtyp_VGR.rotate_Axis.di_Increment,gtyp_HBW.Horizontal_Axis.x_Position_Reached,gtyp_HBW.di_PosBelt_Horizontal,gtyp_VGR.di_Pos_DSO_Discard_vertical,gtyp_VGR.di_Pos_HBW_horizontal,gtyp_VGR.rotate_Axis.i_PWM,gtyp_Interface_TXT_Controler.Subscribe.State_NFC_Device.Workpiece.s_type,gtyp_SSC.Vertical_Axis.Config.di_Neg_Soft_Switch,gtyp_Setup.x_Clean_Rack_HBW,gtyp_HBW.Vertical_Axis.di_Target_Position,gtyp_SSC.di_Pos_Centre_Horizontal,gtyp_VGR.di_Pos_MPO_rotate,gtyp_SSC.Horizontal_Axis.di_Target_Position,gtyp_VGR.vertical_Axis.i_PWM,gtyp_VGR.di_Pos_Park_rotate,gtyp_VGR.vertical_Axis.x_Reference,gtyp_VGR.vertical_Axis.x_Referenced,gtyp_VGR.di_Pos_NiO_horizontal,IX_SSC_RefSwitchHorizontalAxis_I2,gtyp_VGR.x_HBW_Discards,gtyp_Setup.x_Set_Pos_Activ,gtyp_VGR.di_Offset_Pos_MPO_vertical,gtyp_VGR.horizontal_Axis.di_Actual_Position,IX_HBW_SwitchCantileverBack_I6,gtyp_MPO.x_Discard_Ready,gtyp_VGR.rotate_Axis.x_Referenced,IX_SSC_LightBarrierStorage_I3,gtyp_VGR.di_Pos_DSO_rotate,gtyp_VGR.di_Pos_Park_horizontal,gtyp_Setup.x_Color_Sensor_Calibration,gtyp_HBW.Vertical_Axis.Config.di_Pos_Window,gtyp_VGR.rotate_Axis.Config.di_Pos_Window,gtyp_HBW.Vertical_Axis.di_Increment,IX_HBW_LightBarrierInside_I2,gtyp_HBW.x_HBW_Discards_Accepted,gtyp_HBW.Horizontal_Axis.di_Target_Position,gtyp_VGR.horizontal_Axis.x_Start_Positioning,gtyp_HBW.Vertical_Axis.x_Start_Positioning,IX_Set_Park_Position,gtyp_VGR.di_Pos_MPO_horizontal,gtyp_HBW.Vertical_Axis.i_PWM,gtyp_VGR.rotate_Axis.x_Reference,gtyp_VGR.rotate_Axis.x_Referenced,gtyp_VGR.x_HBW_PickedUp,gtyp_VGR.x_Start_Park_Position,gtyp_SSC.Vertical_Axis.x_Referenced,gtyp_VGR.di_Pos_DSI_Collect_vertical,gtyp_HBW.Horizontal_Axis.di_Actual_Position,gtyp_HBW.Horizontal_Axis.Config.di_Pos_Window,gtyp_VGR.di_Pos_NFC_rotate,gtyp_HBW.Horizontal_Axis.i_PWM,gtyp_HBW.Horizontal_Axis.x_Reference,gtyp_HBW.Horizontal_Axis.x_Referenced,gtyp_HBW.Vertical_Axis.x_Position_Reached,gtyp_VGR.x_NFC_Start_First,gtyp_HBW.Vertical_Axis.x_Referenced,gtyp_HBW.di_Offset_Pos_Rack_Vertical,gtyp_VGR.x_MPO_Discards,gtyp_VGR.vertical_Axis.Config.di_Pos_Window,gtyp_VGR.x_Ready_For_Outsource,IX_MPO_RefSwitchOvenFeederInside_I6,gtyp_VGR.di_Pos_DSI_horizontal,gtyp_VGR.vertical_Axis.di_Target_Position,gtyp_VGR.rotate_Axis.di_Target_Position,gtyp_VGR.di_Pos_NFC_vertical,gtyp_SSC.di_Pos_HBW_Vertical,gtyp_SSC.Vertical_Axis.i_PWM,gtyp_HBW.di_Offset_Pos_Belt_Vertical,gtyp_VGR.rotate_Axis.x_Start_Positioning,gtyp_SSC.Vertical_Axis.Config.di_Pos_Window,gtyp_VGR.x_NFC_Completed,gtyp_VGR.di_Pos_NFC_horizontal,gtyp_SSC.Vertical_Axis.di_Increment,gtyp_VGR.di_Pos_NiO_vertical,gtyp_VGR.vertical_Axis.x_Referenced,gtyp_SSC.Vertical_Axis.Config.di_Pos_Soft_Switch,gtyp_HBW.di_Pos_Park_Vertical,IX_HBW_LightBarrierOutside_I3,gtyp_SSC.Horizontal_Axis.di_Actual_Position,gtyp_VGR.horizontal_Axis.di_Increment,gtyp_VGR.vertical_Axis.di_Actual_Position,gtyp_VGR.x_Workpiece_NiO,gtyp_SSC.Horizontal_Axis.x_Position_Reached,gtyp_VGR.horizontal_Axis.di_Target_Position,gtyp_Interface_TXT_Controler.Subscribe.State_NFC_Device.Workpiece.s_state,gtyp_VGR.di_Pos_HBW_rotate,gtyp_VGR.horizontal_Axis.x_Referenced,gtyp_SSC.x_Park_Position_Reached,gtyp_VGR.vertical_Axis.x_Position_Reached,gtyp_VGR.di_Pos_MPO_vertical,gtyp_SSC.Horizontal_Axis.i_PWM,gtyp_SSC.Horizontal_Axis.x_Start_Positioning,gtyp_Setup.i_Color_Sensor_Selection,gtyp_HBW.di_Pos_Park_Horizontal,gtyp_SSC.di_Pos_Centre_Vertical,gtyp_Setup.x_Counter_Value_Calibration,gtyp_Setup.x_Park_Position,gtyp_VGR.di_Offset_Pos_DSI_NFC_vertical,gtyp_SSC.Horizontal_Axis.Config.di_Pos_Soft_Switch,gtyp_VGR.horizontal_Axis.i_PWM,gtyp_Setup.i_Pos_Selection,gtyp_HBW.di_PosBelt_Vertical,gtyp_HBW.x_Start_Park_Position,gtyp_VGR.di_Pos_Color_rotate,gtyp_SSC.di_Pos_Park_Vertical,gtyp_HBW.Horizontal_Axis.x_Referenced,QX_HBW_M1_ConveyorBeltBackward_Q2,gtyp_SSC.Horizontal_Axis.x_Referenced,gtyp_VGR.horizontal_Axis.x_Position_Reached,IX_SSC_RefSwitchVerticalAxis_I1,gtyp_SSC.Vertical_Axis.x_Position_Reached,gtyp_Interface_Dashboard.Subscribe.State_Order.s_state,IX_MPO_LightBarrierEndOfConBelt_I3,QX_SSC_LED_Green_Q5,gtyp_VGR.vertical_Axis.x_Start_Positioning,gtyp_VGR.di_Pos_HBW_Collect_vertical,gtyp_VGR.x_State_Process,gtyp_VGR.horizontal_Axis.Config.di_Pos_Window,gtyp_VGR.di_Pos_Color_horizontal,gtyp_SSC.Vertical_Axis.di_Target_Position,gtyp_MPO.x_MPO_Discards_Accepted,gtyp_SSC.Horizontal_Axis.x_Reference,gtyp_SSC.Horizontal_Axis.x_Referenced,gtyp_VGR.vertical_Axis.di_Increment,gtyp_VGR.di_Pos_Color_vertical,gtyp_VGR.x_NFC_Start,gtyp_VGR.x_NFC_Start_First,gtyp_Interface_TXT_Controler.Subscribe.State_NFC_Device.Workpiece.s_id,gtyp_VGR.di_Pos_DSO_horizontal,gtyp_HBW.Horizontal_Axis.x_Start_Positioning,IX_HBW_SwitchCantileverFront_I5,gtyp_SSC.Horizontal_Axis.Config.di_Pos_Window,gtyp_HBW.x_Park_Position_Reached,gtyp_HBW.Vertical_Axis.di_Actual_Position,gtyp_VGR.di_Pos_DSI_rotate,gtyp_HBW.Horizontal_Axis.di_Increment
23433,True,0,,True,False,-1,False,True,3000,3000,0,False,False,1100,False,False,False,False,True,False,False,200,False,False,True,5400,0,False,18,1480,600,500,,0,False,3250,3000,3500,0,800,1750,False,True,0,False,False,False,650,0,True,False,True,True,970,150,False,15,15,0,True,True,2870,False,False,False,3400,600,False,True,False,False,False,2950,0,15,700,700,False,True,False,False,True,370,False,15,True,True,20,200,5350,2450,950,1000,370,False,25,False,900,-1,2700,True,3000,3200,True,24346,0,0,False,False,600,,5350,True,False,False,1800,1000,False,0,600,1400,False,False,1200,5450,500,0,2800,False,430,200,True,False,False,False,False,False,WAITING_FOR_ORDER,True,True,False,650,False,15,150,0,False,True,False,0,2450,False,False,,2070,False,False,25,False,0,30,0
-16861,True,0,,True,False,-1,False,True,3000,3000,0,False,False,1100,False,False,False,False,True,False,False,200,False,False,True,5400,0,False,18,1480,600,500,,0,False,400,3000,3500,0,800,1750,False,True,0,False,False,False,650,0,False,False,True,True,970,150,False,15,15,394,True,True,5200,False,False,False,3400,600,False,True,False,False,False,2950,2084,15,700,700,False,True,True,False,True,370,False,15,False,True,20,200,5350,2450,950,1000,370,False,25,False,900,-1,2700,True,3000,3200,False,-16259,0,0,False,False,600,,5350,True,False,False,1800,1000,False,0,600,1400,False,False,1200,5450,500,0,2800,False,430,200,True,False,False,False,False,False,WAITING_FOR_ORDER,True,False,False,650,False,15,150,0,False,True,False,0,2450,False,False,,2070,True,True,25,False,394,30,2280
9743,True,692,,True,False,-1,False,True,3000,3000,0,False,False,1100,False,False,True,False,True,True,False,200,False,False,True,5400,692,True,18,1480,600,500,WHITE,0,False,2800,3000,3500,0,800,1750,False,True,0,False,False,False,650,894,False,False,True,True,970,150,False,15,15,2798,True,True,18,False,False,False,3400,600,False,True,False,False,False,2950,0,15,700,700,False,True,True,False,True,370,False,15,False,True,20,2450,700,2450,950,1000,370,False,25,False,900,-1,2700,True,3000,3200,True,9849,894,2455,False,False,900,RAW,5350,True,False,False,1800,1000,False,0,600,1400,False,False,1200,5450,500,0,2800,False,430,200,True,False,False,True,False,False,WAITING_FOR_ORDER,True,False,True,650,False,15,150,0,False,True,False,2233,2450,False,False,04565c92186581,2070,False,False,25,False,2798,30,0
-26596,True,0,,True,False,-1,False,True,3000,3000,0,False,False,1100,False,False,False,False,True,False,False,200,False,False,True,5400,0,False,18,1480,600,500,WHITE,0,False,400,3000,3500,0,800,1750,False,True,0,False,False,False,650,0,True,False,True,True,970,150,False,15,15,0,True,True,5200,False,False,False,3400,600,False,True,False,False,False,2950,0,15,700,700,False,True,False,False,True,370,False,15,True,True,20,200,5350,2450,950,1000,370,False,25,False,900,-1,2700,True,3000,3200,True,-26457,0,0,False,False,600,RAW,5350,True,False,False,1800,1000,False,0,600,1400,False,False,1200,5450,500,0,2800,False,430,200,True,False,False,False,False,False,WAITING_FOR_ORDER,True,True,False,650,False,15,150,0,False,True,False,0,2450,False,False,,2070,False,False,25,False,0,30,0
2853,True,0,,True,False,-1,False,True,3000,3000,0,False,False,1100,False,False,False,False,True,False,False,200,False,False,True,5400,0,False,18,1480,600,500,WHITE,0,False,400,3000,3500,0,800,1750,False,True,0,False,False,False,650,0,True,False,True,True,970,150,False,15,15,0,True,True,5200,False,False,False,3400,600,False,True,False,False,False,2950,0,15,700,700,False,True,False,False,True,370,False,15,True,True,20,200,5350,2450,950,1000,370,False,25,False,900,-1,2700,True,3000,3200,True,3385,0,0,False,False,600,RAW,5350,True,False,False,1800,1000,False,0,600,1400,False,False,1200,5450,500,0,2800,False,430,200,True,False,False,False,False,False,WAITING_FOR_ORDER,True,True,False,650,False,15,150,0,False,True,False,0,2450,False,False,,2070,False,False,25,False,0,30,0
31826,True,0,,True,False,-1,False,True,3000,3000,0,False,False,1100,False,False,False,False,True,False,False,200,False,False,True,5400,0,False,18,1480,600,500,,0,False,1750,3000,3500,0,800,1750,False,True,0,False,False,False,650,0,False,False,True,True,970,150,False,15,15,1048,True,True,5200,False,True,False,3400,600,False,True,False,False,False,2950,1109,15,700,700,False,True,False,False,True,370,False,15,True,True,20,200,5350,2450,950,1000,370,False,25,False,900,-1,2700,True,3000,3200,True,32023,0,0,False,False,600,,5350,True,False,False,1800,1000,False,0,600,1400,False,False,1200,5450,500,0,2800,False,430,200,True,False,False,False,False,False,WAITING_FOR_ORDER,True,False,False,650,False,15,150,0,False,True,False,0,2450,False,False,,2070,True,False,25,False,992,30,1174
-6694,True,696,,True,False,-1,False,True,3000,3000,0,False,False,1100,False,False,False,False,True,True,False,200,False,False,True,5400,696,True,18,1480,600,500,,0,False,2800,3000,3500,0,800,1750,False,True,0,False,False,False,650,896,False,False,True,True,970,150,False,15,15,2800,True,True,18,False,False,False,3400,600,False,True,False,False,False,2950,21,15,700,700,False,True,True,True,True,370,False,15,False,True,20,2450,700,2450,950,1000,370,False,25,False,900,-1,2700,True,3000,3200,True,-5978,896,2457,False,False,900,,5350,True,False,True,1800,1000,False,0,600,1400,False,False,1200,5450,500,0,2800,False,430,200,True,False,False,True,False,False,WAITING_FOR_ORDER,True,False,False,650,False,15,150,0,False,True,False,2457,2450,False,True,,2070,False,False,25,False,2800,30,21
22136,True,0,,True,False,-1,False,True,3000,3000,0,False,False,1100,False,False,False,False,True,False,False,200,False,False,True,5400,0,False,18,1480,600,500,,0,False,1750,3000,3500,0,800,1750,False,True,0,False,False,False,650,0,True,False,True,True,970,150,False,15,15,0,True,True,5200,False,False,False,3400,600,False,True,False,False,False,2950,0,15,700,700,False,True,False,False,True,370,False,15,True,True,20,2700,1100,2450,950,1000,370,False,25,False,900,-1,2700,True,3000,3200,True,22226,0,0,False,False,0,,5350,True,False,False,1800,1000,False,0,600,1400,False,False,1200,5450,500,0,2800,False,430,200,True,False,False,False,False,False,WAITING_FOR_ORDER,True,True,False,650,False,15,150,0,False,True,False,0,2450,False,False,,2070,False,False,25,False,0,30,0
-21117,True,22,,True,False,-1,False,True,3000,3000,0,False,False,1100,False,False,False,False,True,True,False,200,False,False,True,5400,22,True,18,1480,600,500,,0,False,1380,3000,3500,0,800,1750,False,True,0,False,False,False,650,0,False,False,True,True,970,150,False,15,15,1660,True,True,5200,False,True,False,3400,600,False,True,False,False,False,2950,5199,15,700,700,False,True,False,False,True,370,False,15,False,True,20,2700,30,2450,950,1000,370,False,25,False,900,-1,2700,True,3000,3200,False,-20897,0,0,False,False,0,,5350,True,False,False,1800,1000,False,0,600,1400,False,False,1200,5450,500,0,2800,False,430,200,True,False,False,False,False,False,WAITING_FOR_ORDER,True,False,True,650,False,15,150,0,False,True,False,411,2450,False,False,,2070,False,True,25,False,1735,30,5199
10801,True,696,,True,False,-1,False,True,3000,3000,0,False,False,1100,False,False,False,False,True,True,False,200,False,False,True,5400,696,True,18,1480,600,500,,0,False,2800,3000,3500,0,800,1750,True,False,0,False,True,False,650,894,False,False,True,True,970,150,False,15,15,2801,True,True,18,False,False,False,3400,600,False,True,False,False,False,2950,18,15,700,700,False,True,True,False,True,370,False,15,False,True,20,2450,700,2450,950,1000,370,False,25,False,900,-1,2700,False,3000,3200,True,10898,894,1561,True,False,900,,5350,True,False,False,1800,1000,False,0,600,1400,False,False,1200,5450,500,0,2800,False,430,200,True,False,False,True,False,False,WAITING_FOR_ORDER,True,False,False,650,False,15,150,0,False,True,False,928,2450,False,False,,2070,False,False,25,False,2801,30,18
