gtyp_Interface_Dashboard.Subscribe.State_Order.s_state,gtyp_Interface_Dashboard.Publish.PosPanTiltUnit.s_cmd,gtyp_VGR.di_Pos_DSI_Collect_vertical,gtyp_VGR.di_Pos_MPO_vertical,gtyp_VGR.di_Pos_HBW_Discard_vertical,gtyp_VGR.horizontal_Axis.di_Target_Position,gtyp_VGR.horizontal_Axis.di_Actual_Position,gtyp_VGR.horizontal_Axis.Config.di_Pos_Window,gtyp_VGR.horizontal_Axis.x_Start_Positioning,gtyp_VGR.horizontal_Axis.x_Reference,gtyp_VGR.horizontal_Axis.x_Referenced,gtyp_VGR.horizontal_Axis.x_Position_Reached,gtyp_VGR.horizontal_Axis.di_Increment,gtyp_VGR.horizontal_Axis.i_PWM,gtyp_VGR.vertical_Axis.di_Target_Position,gtyp_VGR.vertical_Axis.di_Actual_Position,gtyp_VGR.vertical_Axis.Config.di_Pos_Window,gtyp_VGR.vertical_Axis.x_Start_Positioning,gtyp_VGR.vertical_Axis.x_Reference,gtyp_VGR.vertical_Axis.x_Referenced,gtyp_VGR.vertical_Axis.x_Position_Reached,gtyp_VGR.vertical_Axis.di_Increment,gtyp_VGR.vertical_Axis.i_PWM,gtyp_VGR.rotate_Axis.di_Target_Position,gtyp_VGR.rotate_Axis.di_Actual_Position,gtyp_VGR.rotate_Axis.Config.di_Pos_Window,gtyp_VGR.rotate_Axis.x_Start_Positioning,gtyp_VGR.rotate_Axis.x_Reference,gtyp_VGR.rotate_Axis.x_Referenced,gtyp_VGR.rotate_Axis.x_Position_Reached,gtyp_VGR.rotate_Axis.di_Increment,gtyp_VGR.rotate_Axis.i_PWM,gtyp_VGR.di_Pos_DSI_horizontal,gtyp_VGR.di_Pos_MPO_horizontal,gtyp_VGR.di_Pos_HBW_horizontal,gtyp_VGR.di_Pos_DSI_rotate,gtyp_VGR.di_Pos_MPO_rotate,QX_HBW_M1_ConveyorBeltBackward_Q2
WAITING_FOR_ORDER,,2950,1800,200,600,593,15,False,False,True,True,593,500,200,107,15,True,False,True,False,209,800,5350,5346,15,False,False,True,True,5346,500,20,3400,600,30,3500,False
WAITING_FOR_ORDER,,2950,1800,200,600,0,15,False,False,True,False,0,500,200,0,15,False,False,True,False,0,800,5350,0,15,False,False,True,False,0,500,20,3400,600,30,3500,False
WAITING_FOR_ORDER,,2950,1800,200,900,896,15,False,False,True,True,896,500,2450,2460,15,False,False,True,True,2460,800,700,695,15,False,False,True,True,695,500,20,3400,600,30,3500,False
WAITING_FOR_ORDER,,2950,1800,200,900,894,15,False,False,True,True,894,500,1250,1477,15,True,False,True,False,1405,800,700,695,15,False,False,True,True,695,500,20,3400,600,30,3500,False
WAITING_FOR_ORDER,,2950,1800,200,600,0,15,False,False,True,False,0,500,200,0,15,False,False,True,False,0,800,5350,5120,15,False,True,False,False,5040,500,20,3400,600,30,3500,False
WAITING_FOR_ORDER,,2950,1800,200,600,0,15,False,False,True,False,0,500,200,0,15,False,False,True,False,0,800,5350,0,15,False,False,True,False,0,500,20,3400,600,30,3500,False
WAITING_FOR_ORDER,,2950,1800,200,20,13,15,False,False,True,True,13,500,2950,2721,15,True,False,True,False,2832,800,30,22,15,False,False,True,True,22,500,20,3400,600,30,3500,False
WAITING_FOR_ORDER,,2950,1800,200,900,895,15,False,False,True,True,895,500,1250,1248,15,False,True,False,False,867,800,5350,1007,15,True,False,True,False,1369,500,20,3400,600,30,3500,False
WAITING_FOR_ORDER,,2950,1800,200,600,0,15,False,False,True,False,0,500,200,0,15,False,False,True,False,0,800,5350,0,15,False,False,True,False,0,500,20,3400,600,30,3500,False
WAITING_FOR_ORDER,,2950,1800,200,600,0,15,False,False,True,False,0,500,200,0,15,False,False,True,False,0,800,5350,0,15,False,False,True,False,0,500,20,3400,600,30,3500,False
ORDERED,,2950,1800,200,3400,755,15,True,False,True,False,1033,500,1150,1155,15,False,False,True,True,1155,800,3500,3503,15,False,False,True,True,3503,500,20,3400,600,30,3500,False
IN_PROCESS,,2950,1800,200,3400,0,15,False,False,True,False,0,500,1150,0,15,False,False,True,False,0,800,3500,0,15,False,False,True,False,0,500,20,3400,600,30,3500,False
IN_PROCESS,,2950,1800,200,900,668,15,True,False,True,False,896,500,1250,1244,15,False,False,True,False,1309,800,700,705,15,False,False,True,True,705,500,20,3400,600,30,3500,False
WAITING_FOR_ORDER,,2950,1800,200,900,894,15,False,False,True,True,894,500,2450,2454,15,False,False,True,True,2454,800,700,699,15,False,False,True,True,699,500,20,3400,600,30,3500,False
WAITING_FOR_ORDER,,2950,1800,200,600,315,15,False,True,False,False,0,500,200,0,15,False,False,True,False,0,800,5350,5035,15,False,True,False,False,4845,500,20,3400,600,30,3500,False
WAITING_FOR_ORDER,,2950,1800,200,600,0,15,False,False,True,False,0,500,200,0,15,False,False,True,False,0,800,5350,0,15,False,False,True,False,0,500,20,3400,600,30,3500,False
ORDERED,,2950,1800,200,3400,2770,15,True,False,True,False,2829,500,1150,1163,15,False,False,True,True,1163,800,3500,3501,15,False,False,True,True,3501,500,20,3400,600,30,3500,False
IN_PROCESS,,2950,1800,200,3400,0,15,False,False,True,False,0,500,1150,0,15,False,False,True,False,0,800,3500,2824,15,False,True,False,False,2824,500,20,3400,600,30,3500,False
IN_PROCESS,,2950,1800,200,900,896,15,False,False,True,True,896,500,2450,2457,15,False,False,True,True,2457,800,700,700,15,False,False,True,True,700,500,20,3400,600,30,3500,False
SHIPPED,,2950,1800,200,2070,0,15,False,False,True,False,0,500,1480,0,15,False,False,True,False,0,800,970,0,15,False,False,True,False,0,500,20,3400,600,30,3500,False
