MW0,MW1,MW2,MW3,MW4,QW0,QW1,QW2,QW3,IW0,IW1,IW2,IW3,IW4,IW5,IW6,IW7,IW8,IW9,IW10
19660,30801,55295,31675,28835,65535,0,0,16385,65535,65535,0,0,65535,65535,14935,6330,55163,28980,30826
19660,30801,55295,31675,28835,65535,0,0,17885,65535,65535,0,0,0,0,16385,6931,54941,28985,30826
19660,30801,55295,31675,28835,65535,0,0,19475,65535,65535,0,0,0,0,17885,7570,54802,28994,30827
19660,30801,55295,31675,28835,65535,0,0,21065,65535,65535,0,0,0,0,19435,8231,54871,28998,30827
19660,30801,55295,31675,28835,65535,0,0,22684,65535,65535,0,0,0,0,21024,8910,54940,29001,30828
19660,30801,55295,31675,28835,65535,0,0,24314,65535,65535,0,0,0,0,22654,9607,54940,29001,30828
19660,30801,55295,31675,28835,65535,0,0,27724,65535,65535,0,0,0,0,26004,11042,55077,29007,30829
19660,30801,55295,31675,28835,65535,0,0,27744,65535,65535,0,0,0,0,26004,11042,55145,29009,30830
19660,30801,55295,31675,28835,65535,0,0,31224,65535,65535,0,0,0,0,29464,12527,55214,29011,30830
19660,30801,55295,31675,28835,65535,0,0,31224,65535,65535,0,0,0,0,29464,12527,55214,29011,30831
19660,30801,55295,31675,28835,65535,0,35199,33013,65535,65535,0,0,0,0,31223,13284,55350,29014,30831
19660,30801,55295,31675,28835,65535,0,65535,36593,65535,65535,0,0,35199,65535,34793,14821,55417,29015,30832
19660,30801,55295,31675,28835,65535,0,65535,38393,65535,65535,0,0,35199,65535,36593,15576,55478,29015,30832
19660,30801,55295,31675,28835,65535,0,65535,40193,65535,65535,0,0,65535,65535,38393,16308,55383,29015,30833
19660,30801,55295,31675,28835,65535,0,0,41983,65535,65535,0,0,65535,65535,40193,17036,55159,29014,30833
19660,30801,55295,31675,28835,65535,0,0,43763,65535,65535,0,0,0,0,41983,17758,54936,29013,30834
19660,30801,55295,31675,28835,65535,0,0,45532,65535,65535,0,0,0,0,43762,18522,54726,29012,30834
19660,30801,55295,31675,28835,65535,0,0,47282,65535,65535,0,0,0,0,45532,19283,54794,29010,30835
19660,30801,55295,31675,28835,63650,0,0,49012,65535,65535,0,0,0,0,47282,20037,54861,29008,30836
19660,30801,55295,31675,28835,58035,0,0,50712,63650,65535,0,0,0,0,49012,20783,54929,29005,30836
19660,30801,55295,31675,28835,54365,0,0,52382,63650,65535,0,0,0,0,50712,21517,54996,29002,30836
19660,30801,55295,31675,28835,45150,0,0,54012,58035,65535,0,0,0,0,52382,22237,55060,28998,30837
19660,30801,55295,31675,28835,19475,0,0,55612,35865,45940,0,0,0,0,54012,22938,55115,28995,30837
19660,30801,55295,31675,28835,16055,0,0,57162,35865,45940,0,0,0,0,55612,23622,55155,28990,30837
19660,30801,55295,31675,28835,0,0,0,58672,0,0,0,0,0,0,57162,24278,55175,28986,30836
19660,30801,55295,31675,28835,0,0,0,60132,0,0,0,0,0,0,58672,24911,55163,28981,30835
19660,30801,55295,31675,28835,0,0,0,61532,0,0,0,0,0,0,60132,25522,55125,28975,30835
19660,30801,55295,31675,28835,0,0,0,62871,0,0,0,0,0,0,61531,26107,55088,28969,30832
19660,30801,55295,31675,28835,0,0,0,64151,0,0,0,0,0,0,62871,26666,55050,28963,30831
19660,30801,55295,31675,28835,0,0,0,65371,0,0,0,0,0,0,64151,27199,55013,28957,30830
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65371,27706,54975,28950,30829
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,27766,54938,28943,30827
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,27756,54900,28936,30826
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,27746,54863,28928,30825
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,27736,54825,28921,30823
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,27726,54787,28913,30822
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,27717,54750,28906,30821
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,27707,54713,28898,30820
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,27697,54675,28891,30818
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,27687,54638,28884,30817
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,27677,54601,28876,30816
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,27668,54563,28869,30815
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,27658,54526,28861,30813
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,27648,54489,28854,30812
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,27638,54452,28846,30811
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,27628,54415,28839,30809
19660,30801,55295,31675,28835,0,0,0,65505,0,0,0,0,0,0,65535,27619,54378,28832,30808
19660,30801,55295,31675,28835,0,0,0,65395,0,0,0,0,0,0,65505,27596,54341,28824,30807
19660,30801,55295,31675,28835,0,0,0,65215,0,0,0,0,0,0,65395,27540,54304,28817,30806
19660,30801,55295,31675,28835,0,0,0,64955,0,0,0,0,0,0,65215,27455,54267,28809,30804
19660,30801,55295,31675,28835,0,0,0,64625,0,0,0,0,0,0,64955,27336,54230,28802,30803
19660,30801,55295,31675,28835,0,0,0,64215,0,0,0,0,0,0,64625,27187,54193,28794,30802
