MW0,MW1,MW2,MW3,MW4,QW0,QW1,QW2,QW3,IW0,IW1,IW2,IW3,IW4,IW5,IW6,IW7,IW8,IW9,IW10
19660,30801,55295,31675,28835,25625,0,0,65535,65535,65535,0,0,0,0,65535,27642,54433,65535,31002
19660,30801,55295,31675,28835,25380,0,0,65535,65535,65535,0,0,0,0,65535,27691,54620,65535,31002
19660,30801,55295,31675,28835,25215,0,0,65535,65535,65535,0,0,0,0,65535,27724,54743,65535,31003
19660,30801,55295,31675,28835,25135,0,0,65535,65535,65535,0,0,0,0,65535,27740,54802,65535,31000
19660,30801,55295,31675,28835,25135,0,0,65535,65535,65535,0,0,0,0,65535,27740,54805,65535,30999
19660,30801,55295,31675,28835,25185,0,0,65535,65535,65535,0,0,0,0,65535,27730,54766,65535,30995
19660,30801,55295,31675,28835,25475,0,0,65535,65535,65535,0,0,0,0,65535,27672,54548,65535,30986
19660,30801,55295,31675,28835,25395,0,0,65535,65535,65535,0,0,0,0,65535,27688,54608,65535,30986
19660,30801,55295,31675,28835,25315,0,0,65535,65535,65535,0,0,0,0,65535,27704,54666,65535,30985
19660,30801,55295,31675,28835,25615,0,0,65535,65535,65535,0,0,0,0,65535,27644,54441,65535,30976
19660,30801,55295,31675,28835,25575,0,0,65535,65535,65535,0,0,0,0,65535,27652,54469,65535,30970
19660,30801,55295,31675,28835,25310,0,0,65535,65535,65535,0,0,0,0,65535,27705,54672,65535,30966
19660,30801,55295,31675,28835,25315,0,0,65535,65535,65535,0,0,0,0,65535,27704,54667,65535,30964
19660,30801,55295,31675,28835,25395,0,0,65535,65535,65535,0,0,0,0,65535,27688,54606,65535,30960
19660,30801,55295,31675,28835,25310,0,0,65535,65535,65535,0,0,0,0,65535,27705,54673,65535,30960
19660,30801,55295,31675,28835,25260,0,0,65535,65535,65535,0,0,0,0,65535,27715,54709,65535,30957
19660,30801,55295,31675,28835,25170,0,0,65535,65535,65535,0,0,0,0,65535,27733,54776,65535,30956
19660,30801,55295,31675,28835,25085,0,0,65535,65535,65535,0,0,0,0,65535,27750,54840,65535,30956
19660,30801,55295,31675,28835,24880,0,0,65535,65535,65535,0,0,0,0,65535,27791,54998,65535,30953
19660,30801,55295,31675,28835,24910,0,0,65535,65535,65535,0,0,0,0,65535,27785,54974,65535,30956
19660,30801,55295,31675,28835,24895,0,0,65535,65535,65535,0,0,0,0,65535,27788,54985,65535,30955
19660,30801,55295,31675,28835,24920,0,0,65535,65535,65535,0,0,0,0,65535,27783,54968,65535,30950
19660,30801,55295,31675,28835,24905,0,0,65535,65535,65535,0,0,0,0,65535,27786,54979,65535,30952
19660,30801,55295,31675,28835,25090,0,0,65535,65535,65535,0,0,0,0,65535,27749,54839,65535,30943
19660,30801,55295,31675,28835,24920,0,0,65535,65535,65535,0,0,0,0,65535,27783,54966,65535,30948
19660,30801,55295,31675,28835,24910,0,0,65535,65535,65535,0,0,0,0,65535,27785,54974,65535,30949
19660,30801,55295,31675,28835,24910,0,0,65535,65535,65535,0,0,0,0,65535,27785,54972,65535,30951
19660,30801,55295,31675,28835,24970,0,0,65535,65535,65535,0,0,0,0,65535,27773,54927,65535,30952
19660,30801,55295,31675,28835,24885,0,0,65535,65535,65535,0,0,0,0,65535,27790,54994,65535,30953
19660,30801,55295,31675,28835,24900,0,0,65535,65535,65535,0,0,0,0,65535,27787,54983,65535,30955
19660,30801,55295,31675,28835,24975,0,0,65535,65535,65535,0,0,54655,65535,65535,27772,54925,65535,30956
19660,30801,55295,31675,28835,24880,0,0,65535,65535,65535,0,0,0,0,65535,27791,54997,65535,30958
19660,30801,55295,31675,28835,24975,0,0,65535,65535,65535,0,0,0,0,65535,27772,54927,65535,30959
19660,30801,55295,31675,28835,24895,0,0,65535,65535,65535,0,0,0,0,65535,27788,54985,65535,30961
19660,30801,55295,31675,28835,24960,0,0,65535,65535,65535,0,0,0,0,65535,27775,54934,65535,30962
19660,30801,55295,31675,28835,24935,0,0,65535,65535,65535,0,0,0,0,65535,27780,54956,65535,30964
19660,30801,55295,31675,28835,24975,0,0,65535,65535,65535,0,0,0,0,65535,27772,54924,65535,30963
19660,30801,55295,31675,28835,24970,0,0,65535,65535,65535,0,0,0,0,65535,27773,54931,65535,30962
19660,30801,55295,31675,28835,24935,0,0,65535,65535,65535,0,0,0,0,65535,27780,54956,65535,30963
19660,30801,55295,31675,28835,24910,0,0,65535,65535,65535,0,0,0,0,65535,27785,54975,65535,30966
19660,30801,55295,31675,28835,24940,0,0,65535,65535,65535,0,0,0,0,65535,27779,54950,65535,30967
19660,30801,55295,31675,28835,25250,0,0,65535,65535,65535,0,0,0,0,65535,27717,54746,65535,30963
19660,30801,55295,31675,28835,25245,0,0,65535,65535,65535,0,0,0,0,65535,27718,54719,65535,30961
19660,30801,55295,31675,28835,25170,0,0,65535,65535,65535,0,0,0,0,65535,27733,54777,65535,30961
19660,30801,55295,31675,28835,25170,0,0,65535,65535,65535,0,0,0,0,65535,27733,54777,65535,30959
19660,30801,55295,31675,28835,25135,0,0,65535,65535,65535,0,0,0,0,65535,27740,54806,65535,30957
19660,30801,55295,31675,28835,25025,0,0,65535,65535,65535,0,0,0,0,65535,27762,54886,65535,30957
19660,30801,55295,31675,28835,24905,0,0,65535,65535,65535,0,0,0,0,65535,27786,54978,65535,30956
19660,30801,55295,31675,28835,24975,0,0,65535,65535,65535,0,0,0,0,65535,27772,54925,65535,30958
19660,30801,55295,31675,28835,25425,0,0,65535,65535,65535,0,0,0,0,65535,27682,54583,65535,30949
19660,30801,55295,31675,28835,25340,0,0,65535,65535,65535,0,0,0,0,65535,27699,54647,65535,30949
19660,30801,55295,31675,28835,25100,0,0,65535,65535,65535,0,0,0,0,65535,27747,54832,65535,30949
19660,30801,55295,31675,28835,25070,0,0,65535,65535,65535,0,0,0,0,65535,27753,54855,65535,30948
19660,30801,55295,31675,28835,25070,0,0,65535,65535,65535,0,0,0,0,65535,27753,54852,65535,30946
19660,30801,55295,31675,28835,24930,0,0,65535,65535,65535,0,0,0,0,65535,27781,54958,65535,30947
19660,30801,55295,31675,28835,24890,0,0,65535,65535,65535,0,0,0,0,65535,27789,54990,65535,30947
19660,30801,55295,31675,28835,24950,0,0,65535,65535,65535,0,0,0,0,65535,27777,54944,65535,30949
19660,30801,55295,31675,28835,25040,0,0,65535,65535,65535,0,0,0,0,65535,27759,54874,65535,30950
19660,30801,55295,31675,28835,25140,0,0,65535,65535,65535,0,0,0,0,65535,27739,54801,65535,30946
19660,30801,55295,31675,28835,25140,0,0,65535,65535,65535,0,0,0,0,65535,27739,54801,65535,30946
19660,30801,55295,31675,28835,25090,0,0,65535,65535,65535,0,0,0,0,65535,27749,54840,65535,30947
19660,30801,55295,31675,28835,25050,0,0,65535,65535,65535,0,0,0,0,65535,27757,54870,65535,30945
19660,30801,55295,31675,28835,24970,0,0,65535,65535,65535,0,0,0,0,65535,27773,54931,65535,30945
19660,30801,55295,31675,28835,24885,0,0,65535,65535,65535,0,0,0,0,65535,27790,54995,65535,30945
19660,30801,55295,31675,28835,24930,0,0,65535,65535,65535,0,0,0,0,65535,27781,54961,65535,30942
19660,30801,55295,31675,28835,24985,0,0,65535,65535,65535,0,0,0,0,65535,27770,54920,65535,30938
19660,30801,55295,31675,28835,24905,0,0,65535,65535,65535,0,0,0,0,65535,27786,54978,65535,30938
19660,30801,55295,31675,28835,24920,0,0,65535,65535,65535,0,0,0,0,65535,27783,54968,65535,30933
19660,30801,55295,31675,28835,25050,0,0,65535,65535,65535,0,0,0,0,65535,27757,54867,65535,30930
19660,30801,55295,31675,28835,24995,0,0,65535,65535,65535,0,0,0,0,65535,27768,54912,65535,30929
19660,30801,55295,31675,28835,25145,0,0,65535,65535,65535,0,0,0,0,65535,27738,54797,65535,30920
19660,30801,55295,31675,28835,25100,0,0,65535,65535,65535,0,0,0,0,65535,27747,54829,65535,30918
19660,30801,55295,31675,28835,24895,0,0,65535,65535,65535,0,0,0,0,65535,27788,54988,65535,30926
19660,30801,55295,31675,28835,24900,0,0,65535,65535,65535,0,0,0,0,65535,27787,54983,65535,30928
19660,30801,55295,31675,28835,24970,0,0,65535,65535,65535,0,0,0,0,65535,27773,54930,65535,30929
19660,30801,55295,31675,28835,24900,0,0,65535,65535,65535,0,0,0,0,65535,27787,54983,65535,30930
19660,30801,55295,31675,28835,24970,0,0,65535,65535,65535,0,0,0,0,65535,27773,54928,65535,30931
19660,30801,55295,31675,28835,24910,0,0,65535,65535,65535,0,0,0,0,65535,27785,54975,65535,30929
19660,30801,55295,31675,28835,25055,0,0,65535,65535,65535,0,0,0,0,65535,27756,54865,65535,30928
19660,30801,55295,31675,28835,24995,0,0,65535,65535,65535,0,0,0,0,65535,27768,54909,65535,30924
19660,30801,55295,31675,28835,24985,0,0,65535,65535,65535,0,0,0,0,65535,27770,54916,65535,30923
19660,30801,55295,31675,28835,24920,0,0,65535,65535,65535,0,0,0,0,65535,27783,54967,65535,30923
19660,30801,55295,31675,28835,24910,0,0,65535,65535,65535,0,0,0,0,65535,27785,54976,65535,30929
19660,30801,55295,31675,28835,24955,0,0,65535,65535,65535,0,0,0,0,65535,27776,54941,65535,30931
19660,30801,55295,31675,28835,24935,0,0,65535,65535,65535,0,0,0,0,65535,27780,54958,65535,30934
19660,30801,55295,31675,28835,24900,0,0,65535,65535,65535,0,0,0,0,65535,27787,54985,65535,30938
19660,30801,55295,31675,28835,24915,0,0,65535,65535,65535,0,0,0,0,65535,27784,54972,65535,30940
19660,30801,55295,31675,28835,24910,0,0,65535,65535,65535,0,0,0,0,65535,27785,54972,65535,30942
19660,30801,55295,31675,28835,25325,0,0,65535,65535,65535,0,0,0,0,65535,27702,54658,65535,30939
