gtyp_Interface_Dashboard.Subscribe.EnvironmentSensor.i_iaq,gtyp_Interface_Dashboard.Subscribe.EnvironmentSensor.r_t,gtyp_Interface_Dashboard.Subscribe.EnvironmentSensor.r_p,gtyp_Interface_Dashboard.Subscribe.EnvironmentSensor.r_rh,gtyp_Interface_Dashboard.Subscribe.EnvironmentSensor.r_h,gtyp_Interface_Dashboard.Subscribe.EnvironmentSensor.r_rt,gtyp_Interface_Dashboard.Subscribe.EnvironmentSensor.i_aq,gtyp_Interface_Dashboard.Subscribe.EnvironmentSensor.di_gr,gtyp_Interface_Dashboard.Subscribe.BrightnessSensor.r_br,gtyp_Interface_Dashboard.Subscribe.BrightnessSensor.i_ldr,gtyp_Interface_Dashboard.Subscribe.CameraPicture.s_data,gtyp_Interface_Dashboard.Subscribe.PosPanTiltUnit.r_pan,gtyp_Interface_Dashboard.Subscribe.PosPanTiltUnit.r_tilt,gtyp_Interface_Dashboard.Subscribe.AlertMessage.s_id,gtyp_Interface_Dashboard.Subscribe.AlertMessage.i_code,gtyp_Interface_Dashboard.Subscribe.AlertMessage.s_data,gtyp_Interface_Dashboard.Subscribe.State_HBW.s_station,gtyp_Interface_Dashboard.Subscribe.State_HBW.i_code,gtyp_Interface_Dashboard.Subscribe.State_HBW.s_description,gtyp_Interface_Dashboard.Subscribe.State_HBW.x_active,gtyp_Interface_Dashboard.Subscribe.State_HBW.s_target,gtyp_Interface_Dashboard.Subscribe.State_VGR.s_station,gtyp_Interface_Dashboard.Subscribe.State_VGR.i_code,gtyp_Interface_Dashboard.Subscribe.State_VGR.s_description,gtyp_Interface_Dashboard.Subscribe.State_VGR.x_active,gtyp_Interface_Dashboard.Subscribe.State_VGR.s_target,gtyp_Interface_Dashboard.Subscribe.State_MPO.s_station,gtyp_Interface_Dashboard.Subscribe.State_MPO.i_code,gtyp_Interface_Dashboard.Subscribe.State_MPO.s_description,gtyp_Interface_Dashboard.Subscribe.State_MPO.x_active,gtyp_Interface_Dashboard.Subscribe.State_MPO.s_target,gtyp_Interface_Dashboard.Subscribe.State_SLD.s_station,QX_VGR_ValveVacuum_Q8
74,21.39999962,1002.700012,40.81000137,48.90000153,24.64999962,0,239706,72.80000305,4079,,0,0,,0,,hbw,1,,False,,vgr,2,,True,hbw,mpo,1,,False,,sld,False
79,21.60000038,1002.799988,39.09000015,47.29999924,24.75,0,280662,73.5,3976,,0,0,,0,,hbw,2,,False,,vgr,1,,False,,mpo,1,,False,,sld,True
82,21.70000076,1002.799988,38.70999908,46.79999924,24.85000038,0,309054,62.40000153,5640,,0,0,,0,,hbw,2,,False,,vgr,2,,True,hbw,mpo,1,,False,,sld,True
86,21.79999924,1002.799988,38.77999878,46.90000153,24.95000076,0,329291,73.40000153,3983,,0,0,,0,,hbw,1,,False,,vgr,2,,True,hbw,mpo,1,,False,,sld,True
88,21.79999924,1002.799988,37.95999908,45.90000153,25.02000046,0,350474,71.90000153,4217,,0,0,,0,,hbw,2,,True,,vgr,2,,False,,mpo,1,,False,,sld,False
90,21.89999962,1002.799988,37.88999939,45.79999924,25.10000038,0,360922,62.59999847,5612,,0,0,,0,,hbw,2,,False,,vgr,1,,False,,mpo,1,,False,,sld,False
91,22.0,1002.799988,37.75999832,45.70000076,25.15999985,0,368655,72.80000305,4084,,0,0,,0,,hbw,1,,False,,vgr,2,,False,,mpo,1,,False,,sld,True
98,22.10000038,1002.799988,38.0,46.0,25.28000069,0,378035,74.0,3901,,0,0,,0,,hbw,1,,False,,vgr,2,,True,hbw,mpo,1,,False,,sld,False
98,22.20000076,1002.799988,37.91999817,45.90000153,25.39999962,3,387368,65.59999847,5153,,0,0,,0,,hbw,2,,False,,vgr,1,,False,,mpo,1,,False,,sld,False
92,22.29999924,1002.799988,37.31999969,45.20000076,25.5,3,396855,74.0,3894,,0,0,,0,,hbw,1,,False,,vgr,1,,False,,mpo,1,,False,,sld,True
84,22.39999962,1002.799988,37.91999817,45.90000153,25.57999992,3,399721,60.20000076,5966,,0,0,,0,,hbw,2,,False,,vgr,2,,False,,mpo,2,,False,,sld,False
79,22.39999962,1002.799988,37.09999847,44.90000153,25.63999939,3,406570,72.80000305,4074,,0,0,,0,,hbw,1,,False,,vgr,1,,False,,mpo,2,,True,,sld,True
70,22.5,1002.799988,36.41999817,44.0,25.68000031,3,417559,73.59999847,3964,,0,0,,0,,hbw,1,,False,,vgr,2,,True,dso,mpo,1,,False,,sld,True
66,22.5,1002.799988,36.5,44.20000076,25.70999908,3,420466,72.80000305,4082,,0,0,,0,,hbw,2,,False,,vgr,2,,True,hbw,mpo,1,,False,,sld,True
68,22.5,1002.799988,36.31000137,44.0,25.72999954,3,420732,72.5,4124,,0,0,,0,,hbw,1,,False,,vgr,2,,True,hbw,mpo,1,,False,,sld,False
69,22.60000038,1002.799988,36.79999924,44.5,25.77000046,3,420200,73.59999847,3962,,0,0,,0,,hbw,1,,False,,vgr,1,,False,,mpo,1,,False,,sld,True
68,22.60000038,1002.799988,36.70999908,44.40000153,25.81999969,3,417821,71.09999847,4329,,0,0,,0,,hbw,2,,False,,vgr,2,,True,mpo,mpo,2,,False,,sld,False
68,22.70000076,1002.799988,37.04000092,44.79999924,25.87000084,3,418084,72.0,4200,,0,0,,0,,hbw,2,,False,,vgr,2,,False,,mpo,2,,True,,sld,True
69,22.70000076,1002.799988,37.86000061,46.29999924,25.92000008,3,405083,52.29999924,7151,,0,0,,0,,hbw,1,,False,,vgr,2,,True,dso,mpo,1,,False,,sld,False
76,22.79999924,1002.799988,38.68999863,46.79999924,26.01000023,3,399000,56.70000076,6493,,0,0,,0,,hbw,1,,False,,vgr,1,,False,,mpo,1,,False,,sld,False
