gtyp_Interface_Dashboard.Subscribe.State_SLD.i_code,gtyp_Interface_Dashboard.Subscribe.State_SLD.s_description,gtyp_Interface_Dashboard.Subscribe.State_SLD.x_active,gtyp_Interface_Dashboard.Subscribe.State_SLD.s_target,gtyp_Interface_Dashboard.Subscribe.State_DSI.s_station,gtyp_Interface_Dashboard.Subscribe.State_DSI.i_code,gtyp_Interface_Dashboard.Subscribe.State_DSI.s_description,gtyp_Interface_Dashboard.Subscribe.State_DSI.x_active,gtyp_Interface_Dashboard.Subscribe.State_DSI.s_target,gtyp_Interface_Dashboard.Subscribe.State_DSO.s_station,gtyp_Interface_Dashboard.Subscribe.State_DSO.i_code,gtyp_Interface_Dashboard.Subscribe.State_DSO.s_description,gtyp_Interface_Dashboard.Subscribe.State_DSO.x_active,gtyp_Interface_Dashboard.Subscribe.State_DSO.s_target,gtyp_Interface_Dashboard.Subscribe.Stock_HBW.StockItem[0$0].s_id,gtyp_Interface_Dashboard.Subscribe.Stock_HBW.StockItem[0$0].s_type,gtyp_Interface_Dashboard.Subscribe.Stock_HBW.StockItem[0$0].s_state,gtyp_Interface_Dashboard.Subscribe.Stock_HBW.StockItem[0$1].s_id,gtyp_Interface_Dashboard.Subscribe.Stock_HBW.StockItem[0$1].s_type,gtyp_Interface_Dashboard.Subscribe.Stock_HBW.StockItem[0$1].s_state,gtyp_Interface_Dashboard.Subscribe.Stock_HBW.StockItem[0$2].s_id,gtyp_Interface_Dashboard.Subscribe.Stock_HBW.StockItem[0$2].s_type,gtyp_Interface_Dashboard.Subscribe.Stock_HBW.StockItem[0$2].s_state,gtyp_Interface_Dashboard.Subscribe.Stock_HBW.StockItem[1$0].s_id,gtyp_Interface_Dashboard.Subscribe.Stock_HBW.StockItem[1$0].s_type,gtyp_Interface_Dashboard.Subscribe.Stock_HBW.StockItem[1$0].s_state,gtyp_Interface_Dashboard.Subscribe.Stock_HBW.StockItem[1$1].s_id,gtyp_Interface_Dashboard.Subscribe.Stock_HBW.StockItem[1$1].s_type,gtyp_Interface_Dashboard.Subscribe.Stock_HBW.StockItem[1$1].s_state,gtyp_Interface_Dashboard.Subscribe.Stock_HBW.StockItem[1$2].s_id,gtyp_Interface_Dashboard.Subscribe.Stock_HBW.StockItem[1$2].s_type,gtyp_Interface_Dashboard.Subscribe.Stock_HBW.StockItem[1$2].s_state,gtyp_Interface_Dashboard.Subscribe.Stock_HBW.StockItem[2$0].s_id,gtyp_Interface_Dashboard.Subscribe.Stock_HBW.StockItem[2$0].s_type,gtyp_Interface_Dashboard.Subscribe.Stock_HBW.StockItem[2$0].s_state,gtyp_Interface_Dashboard.Subscribe.Stock_HBW.StockItem[2$1].s_id,QX_VGR_ValveVacuum_Q8
1,,False,,dsi,1,,False,,dso,1,,False,,,,,0,,,0,,,0.0,,,0,,,0,,,0,,,0,False
1,,False,,dsi,1,,False,,dso,1,,False,,04565c92186581,WHITE,RAW,0,,,0,,,0.0,,,0,,,0,,,0,,,0,True
1,,False,,dsi,1,,False,,dso,1,,False,,04565c92186581,WHITE,RAW,0,,,0,,,0.0,,,0,,,0,,,0,,,0,True
1,,False,,dsi,1,,False,,dso,1,,False,,04565c92186581,WHITE,RAW,0,,,0,,,,,,0,,,0,,,0,,,0,True
1,,False,,dsi,1,,False,,dso,1,,False,,04565c92186581,WHITE,RAW,0,,,0,,,,,,0,,,0,,,0,,,0,False
1,,False,,dsi,1,,False,,dso,1,,False,,04565c92186581,WHITE,RAW,0,,,0,,,4845590000000.0,WHITE,RAW,0,,,0,,,0,,,0,False
1,,False,,dsi,1,,False,,dso,0,,False,,04565c92186581,WHITE,RAW,0,,,0,,,4845590000000.0,WHITE,RAW,0,,,0,,,0,,,0,True
1,,False,,dsi,1,,False,,dso,1,,False,,04565c92186581,WHITE,RAW,0,,,0,,,4845590000000.0,WHITE,RAW,0,,,0,,,,,,0,False
1,,False,,dsi,1,,False,,dso,1,,False,,04565c92186581,WHITE,RAW,0,,,0,,,4845590000000.0,WHITE,RAW,0,,,0,,,049d5c92186580,BLUE,RAW,0,False
1,,False,,dsi,1,,False,,dso,1,,False,,04565c92186581,WHITE,RAW,0,,,0,,,4845590000000.0,WHITE,RAW,0,,,0,,,049d5c92186580,BLUE,RAW,0,True
1,,False,,dsi,1,,False,,dso,1,,False,,,,,0,,,0,,,4845590000000.0,WHITE,RAW,0,,,0,,,049d5c92186580,BLUE,RAW,0,False
1,,False,,dsi,1,,False,,dso,1,,False,,0,,,0,,,0,,,4845590000000.0,WHITE,RAW,0,,,0,,,049d5c92186580,BLUE,RAW,0,True
1,,False,,dsi,1,,False,,dso,1,,False,,0,,,0,,,0,,,4845590000000.0,WHITE,RAW,0,,,0,,,049d5c92186580,BLUE,RAW,0,True
1,,False,,dsi,0,,True,,dso,1,,False,,0,,,0,,,0,,,4845590000000.0,WHITE,RAW,0,,,0,,,049d5c92186580,BLUE,RAW,0,True
1,,False,,dsi,1,,False,,dso,1,,False,,,,,0,,,0,,,4845590000000.0,WHITE,RAW,0,,,0,,,049d5c92186580,BLUE,RAW,0,False
1,,False,,dsi,1,,False,,dso,1,,False,,4.14949E+12,BLUE,RAW,0,,,0,,,4845590000000.0,WHITE,RAW,0,,,0,,,049d5c92186580,BLUE,RAW,0,True
1,,False,,dsi,1,,False,,dso,1,,False,,4.14949E+12,BLUE,RAW,0,,,0,,,4845590000000.0,WHITE,RAW,0,,,0,,,,,,0,False
