gtyp_SSC.di_Pos_Park_Horizontal,gtyp_SSC.di_Pos_Park_Vertical,gtyp_HBW.x_HBW_Discards_Accepted,gtyp_HBW.x_HBW_PickUp_Ready,gtyp_HBW.di_PosBelt_Horizontal,gtyp_HBW.di_PosBelt_Vertical,gtyp_HBW.Horizontal_Axis.di_Target_Position,gtyp_HBW.Horizontal_Axis.di_Actual_Position,gtyp_HBW.Horizontal_Axis.Config.di_Pos_Soft_Switch,gtyp_HBW.Horizontal_Axis.Config.di_Neg_Soft_Switch,gtyp_HBW.Horizontal_Axis.Config.di_Ref_Pos,gtyp_HBW.Horizontal_Axis.Config.di_Loop_Value,gtyp_HBW.Horizontal_Axis.Config.di_Pos_Window,gtyp_HBW.Horizontal_Axis.x_Start_Positioning,gtyp_HBW.Horizontal_Axis.x_Reference,gtyp_HBW.Horizontal_Axis.x_Referenced,gtyp_HBW.Horizontal_Axis.x_Position_Reached,gtyp_HBW.Horizontal_Axis.di_Increment,gtyp_HBW.Horizontal_Axis.i_PWM,gtyp_HBW.Vertical_Axis.di_Target_Position,gtyp_HBW.Vertical_Axis.di_Actual_Position,gtyp_HBW.Vertical_Axis.Config.di_Pos_Soft_Switch,gtyp_HBW.Vertical_Axis.Config.di_Neg_Soft_Switch,gtyp_HBW.Vertical_Axis.Config.di_Ref_Pos,gtyp_HBW.Vertical_Axis.Config.di_Loop_Value,gtyp_HBW.Vertical_Axis.Config.di_Pos_Window,gtyp_HBW.Vertical_Axis.x_Start_Positioning,gtyp_HBW.Vertical_Axis.x_Reference,gtyp_HBW.Vertical_Axis.x_Referenced,gtyp_HBW.Vertical_Axis.x_Position_Reached,gtyp_HBW.Vertical_Axis.di_Increment,gtyp_HBW.Vertical_Axis.i_PWM,gtyp_HBW.di_Offset_Pos_Belt_Vertical,gtyp_HBW.x_HBW_Container_Available,gtyp_HBW.Rack_Pos[0$0].di_PosRack_Horizontal,gtyp_HBW.Rack_Pos[0$0].di_PosRack_Vertical,gtyp_HBW.Rack_Pos[0$1].di_PosRack_Horizontal,gtyp_HBW.Rack_Pos[0$1].di_PosRack_Vertical,gtyp_HBW.Rack_Pos[0$2].di_PosRack_Horizontal,gtyp_HBW.Rack_Pos[0$2].di_PosRack_Vertical,QX_VGR_ValveVacuum_Q8
3000,200,True,False,18,2800,18,20,7900,0,0,0,15,False,False,True,True,20,700,2430,2432,3350,0,0,0,15,False,False,True,True,2432,600,370,False,2870,400,5200,400,7560,400,False
3000,200,True,False,18,2800,2870,0,7900,0,0,0,15,False,False,True,False,0,700,400,0,3350,0,0,0,15,False,False,True,False,0,600,370,False,2870,400,5200,400,7560,400,True
3000,200,True,False,18,2800,2870,-795,7900,0,0,0,15,False,True,False,False,-969,700,2430,2428,3350,0,0,0,15,False,False,True,True,2428,600,370,False,2870,400,5200,400,7560,400,True
3000,200,True,False,18,2800,18,23,7900,0,0,0,15,False,False,True,True,23,700,2800,2802,3350,0,0,0,15,False,False,True,True,2802,600,370,True,2870,400,5200,400,7560,400,True
3000,200,True,False,18,2800,2870,2264,7900,0,0,0,15,True,False,True,False,2339,700,1380,1386,3350,0,0,0,15,False,False,True,True,1386,600,370,False,2870,400,5200,400,7560,400,False
3000,200,True,False,18,2800,2870,0,7900,0,0,0,15,False,False,True,False,0,700,1750,0,3350,0,0,0,15,False,False,True,False,0,600,370,False,2870,400,5200,400,7560,400,False
3000,200,True,False,18,2800,2870,2874,7900,0,0,0,15,False,False,True,True,2874,700,3250,3247,3350,0,0,0,15,False,False,True,True,3247,600,370,False,2870,400,5200,400,7560,400,True
3000,200,True,False,18,2800,18,21,7900,0,0,0,15,False,False,True,True,21,700,2800,2801,3350,0,0,0,15,False,False,True,True,2801,600,370,True,2870,400,5200,400,7560,400,False
3000,200,True,False,18,2800,2870,0,7900,0,0,0,15,False,False,True,False,0,700,3250,432,3350,0,0,0,15,False,True,False,False,388,600,370,False,2870,400,5200,400,7560,400,False
3000,200,True,False,18,2800,2870,1177,7900,0,0,0,15,True,False,True,False,1245,700,400,402,3350,0,0,0,15,False,False,True,True,402,600,370,False,2870,400,5200,400,7560,400,True
3000,200,True,False,18,2800,2870,2875,7900,0,0,0,15,False,False,True,True,2875,700,400,396,3350,0,0,0,15,False,False,True,False,364,600,370,False,2870,400,5200,400,7560,400,False
3000,200,True,False,18,2800,2870,0,7900,0,0,0,15,False,False,True,False,0,700,400,0,3350,0,0,0,15,False,False,True,False,0,600,370,False,2870,400,5200,400,7560,400,True
