gtyp_HBW.Rack_History[2$2].History[19].i_code,gtyp_HBW.i_PWM_ConveyorBelt,gtyp_HBW.i_PWM_Cantilever,gtyp_HBW.Workpiece.s_id,gtyp_HBW.Workpiece.s_type,gtyp_HBW.Workpiece.s_state,gtyp_HBW.History[0].i_code,gtyp_HBW.History[1].i_code,gtyp_HBW.History[2].i_code,gtyp_HBW.History[3].i_code,gtyp_HBW.History[4].i_code,gtyp_HBW.History[5].i_code,gtyp_HBW.History[6].i_code,gtyp_HBW.History[7].i_code,gtyp_HBW.History[8].i_code,gtyp_HBW.History[9].i_code,gtyp_HBW.History[10].i_code,gtyp_HBW.History[11].i_code,gtyp_HBW.History[12].i_code,gtyp_HBW.History[13].i_code,gtyp_HBW.History[14].i_code,gtyp_HBW.History[15].i_code,gtyp_HBW.History[16].i_code,QX_VGR_ValveVacuum_Q8
0,800,1000,04565c92186581,WHITE,RAW,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,800,1000,04565c92186581,WHITE,RAW,100,200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
0,800,1000,04565c92186581,WHITE,RAW,100,200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
0,800,1000,04565c92186581,WHITE,RAW,100,200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
0,800,1000,4.84559E+12,WHITE,RAW,100,200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,800,1000,4.84559E+12,WHITE,RAW,100,200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,800,1000,4.84559E+12,WHITE,RAW,100,200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
0,800,1000,049d5c92186580,BLUE,RAW,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,800,1000,049d5c92186580,BLUE,RAW,100,200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,800,1000,04565c92186581,WHITE,RAW,100,200,300,400,0,0,0,0,0,0,0,0,0,0,0,0,0,True
0,800,1000,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,800,1000,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
0,800,1000,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
0,800,1000,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
0,800,1000,4.14949E+12,BLUE,RAW,100,200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,800,1000,049d5c92186580,BLUE,RAW,100,200,300,400,0,0,0,0,0,0,0,0,0,0,0,0,0,True
0,800,1000,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,800,1000,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
0,800,1000,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,800,1000,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
