gtyp_Setup.i_Calib_CounterValue_White,gtyp_Setup.i_Calib_CounterValue_Red,gtyp_Setup.x_Set_CounterValues,gtyp_Setup.x_AcknowledgeButton,gtyp_Setup.x_Counter_Value_Calibration,gtyp_Setup.x_Activate_Continuous_Operation,gtyp_Setup.x_Park_Position,gtyp_SLD.i_CounterValue_Blue,gtyp_SLD.i_CounterValue_Red,gtyp_SLD.i_CounterValue_White,gtyp_SLD.Workpiece.s_id,gtyp_SLD.Workpiece.s_type,gtyp_SLD.Workpiece.s_state,gtyp_SLD.History[0].i_code,gtyp_SLD.History[1].i_code,gtyp_SLD.History[2].i_code,gtyp_SLD.History[3].i_code,gtyp_SLD.History[4].i_code,gtyp_SLD.History[5].i_code,gtyp_SLD.History[6].i_code,gtyp_SLD.History[7].i_code,gtyp_SLD.History[8].i_code,gtyp_SLD.History[9].i_code,gtyp_SLD.History[10].i_code,gtyp_SLD.History[11].i_code,gtyp_SLD.History[12].i_code,QX_VGR_ValveVacuum_Q8
5,16,False,False,False,False,False,26,16,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
5,16,False,False,False,False,False,26,16,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
5,16,False,False,False,False,False,26,16,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
5,16,False,False,False,False,False,26,16,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
5,16,False,False,False,False,False,26,16,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
5,16,False,False,False,False,False,26,16,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
5,16,False,False,False,False,False,26,16,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
5,16,False,False,False,False,False,26,16,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
5,16,False,False,False,False,False,26,16,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
5,16,False,False,False,False,False,26,16,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
5,16,False,False,False,False,False,26,16,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
5,16,False,False,False,False,False,26,16,5,04565c92186581,WHITE,PROCESSED,100,200,300,400,500,600,700,0,0,0,0,0,0,True
5,16,False,False,False,False,False,26,16,5,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
5,16,False,False,False,False,False,26,16,5,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
5,16,False,False,False,False,False,26,16,5,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
5,16,False,False,False,False,False,26,16,5,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
5,16,False,False,False,False,False,26,16,5,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
5,16,False,False,False,False,False,26,16,5,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
5,16,False,False,False,False,False,26,16,5,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
5,16,False,False,False,False,False,26,16,5,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,False
