gtyp_SLD.History[13].i_code,gtyp_SLD.History[14].i_code,gtyp_SLD.History[15].i_code,gtyp_SLD.History[16].i_code,gtyp_SLD.History[17].i_code,gtyp_SLD.History[18].i_code,gtyp_SLD.History[19].i_code,gtyp_SLD.i_Counter_Actual,gtyp_SLD.w_Threshold_White_Red,gtyp_SLD.w_Threshold_Red_Blue,gtyp_SLD.x_Error,gtyp_Interface_TXT_Controler.Publish.ActionButtonNFCModule.s_cmd,gtyp_Interface_TXT_Controler.Publish.ActionButtonNFCModule.Workpiece.s_id,gtyp_Interface_TXT_Controler.Publish.ActionButtonNFCModule.Workpiece.s_type,gtyp_Interface_TXT_Controler.Publish.ActionButtonNFCModule.Workpiece.s_state,gtyp_Interface_TXT_Controler.Publish.ActionButtonNFCModule.History[0].i_code,gtyp_Interface_TXT_Controler.Publish.ActionButtonNFCModule.History[1].i_code,gtyp_Interface_TXT_Controler.Publish.ActionButtonNFCModule.History[2].i_code,gtyp_Interface_TXT_Controler.Publish.ActionButtonNFCModule.History[3].i_code,gtyp_Interface_TXT_Controler.Publish.ActionButtonNFCModule.History[4].i_code,gtyp_Interface_TXT_Controler.Publish.ActionButtonNFCModule.History[5].i_code,gtyp_Interface_TXT_Controler.Publish.ActionButtonNFCModule.History[6].i_code,gtyp_Interface_TXT_Controler.Publish.ActionButtonNFCModule.History[7].i_code,gtyp_Interface_TXT_Controler.Publish.ActionButtonNFCModule.History[8].i_code,QX_VGR_ValveVacuum_Q8
0,0,0,0,0,0,0,0,9880,15681,False,write,,WHITE,RAW,100,200,0,0,0,0,0,0,0,False
0,0,0,0,0,0,0,0,9880,15681,False,read_uid,,WHITE,RAW,100,200,0,0,0,0,0,0,0,True
0,0,0,0,0,0,0,0,9880,15681,False,write,,,RAW,100,0,0,0,0,0,0,0,0,True
0,0,0,0,0,0,0,0,9880,15681,False,write,,WHITE,RAW,100,200,0,0,0,0,0,0,0,True
0,0,0,0,0,0,0,0,9880,15681,False,write,,WHITE,RAW,100,200,0,0,0,0,0,0,0,False
0,0,0,0,0,0,0,0,9880,15681,False,read_uid,,WHITE,RAW,100,200,0,0,0,0,0,0,0,False
0,0,0,0,0,0,0,0,9880,15681,False,write,,,RAW,100,0,0,0,0,0,0,0,0,True
0,0,0,0,0,0,0,0,9880,15681,False,write,,BLUE,RAW,100,200,0,0,0,0,0,0,0,False
0,0,0,0,0,0,0,0,9880,15681,False,read_uid,,BLUE,RAW,100,200,0,0,0,0,0,0,0,False
0,0,0,0,0,0,0,0,9880,15681,False,read_uid,,BLUE,RAW,100,200,0,0,0,0,0,0,0,True
0,0,0,0,0,0,0,0,9880,15681,False,read_uid,,BLUE,RAW,100,200,0,0,0,0,0,0,0,False
0,0,0,0,0,0,0,0,9880,15681,False,read_uid,,BLUE,RAW,100,200,0,0,0,0,0,0,0,True
0,0,0,0,0,0,0,0,9880,15681,False,write,,WHITE,PROCESSED,100,200,300,400,500,600,700,800,0,True
0,0,0,0,0,0,0,0,9880,15681,False,write,,BLUE,RAW,100,200,0,0,0,0,0,0,0,True
0,0,0,0,0,0,0,0,9880,15681,False,read_uid,,BLUE,RAW,100,200,0,0,0,0,0,0,0,False
0,0,0,0,0,0,0,0,9880,15681,False,read_uid,,BLUE,RAW,100,200,0,0,0,0,0,0,0,True
0,0,0,0,0,0,0,0,9880,15681,False,read_uid,,BLUE,RAW,100,200,0,0,0,0,0,0,0,False
0,0,0,0,0,0,0,0,9880,15681,False,read_uid,,BLUE,RAW,100,200,0,0,0,0,0,0,0,True
0,0,0,0,0,0,0,0,9880,15681,False,read_uid,,BLUE,PROCESSED,100,200,300,400,500,600,700,800,0,False
0,0,0,0,0,0,0,0,9880,15681,False,read_uid,,BLUE,PROCESSED,100,200,300,400,500,600,700,800,0,False
