gtyp_Interface_TXT_Controler.Publish.ActionButtonNFCModule.History[9].i_code,gtyp_Interface_TXT_Controler.Publish.ActionButtonNFCModule.History[10].i_code,gtyp_Interface_TXT_Controler.Publish.ActionButtonNFCModule.History[11].i_code,gtyp_Interface_TXT_Controler.Publish.ActionButtonNFCModule.History[12].i_code,gtyp_Interface_TXT_Controler.Publish.ActionButtonNFCModule.History[13].i_code,gtyp_Interface_TXT_Controler.Publish.ActionButtonNFCModule.History[14].i_code,gtyp_Interface_TXT_Controler.Publish.ActionButtonNFCModule.History[15].i_code,gtyp_Interface_TXT_Controler.Publish.ActionButtonNFCModule.History[16].i_code,gtyp_Interface_TXT_Controler.Publish.ActionButtonNFCModule.History[17].i_code,gtyp_Interface_TXT_Controler.Publish.ActionButtonNFCModule.History[18].i_code,gtyp_Interface_TXT_Controler.Publish.ActionButtonNFCModule.History[19].i_code,gtyp_Interface_TXT_Controler.Subscribe.State_NFC_Device.Workpiece.s_id,gtyp_Interface_TXT_Controler.Subscribe.State_NFC_Device.Workpiece.s_type,gtyp_Interface_TXT_Controler.Subscribe.State_NFC_Device.Workpiece.s_state,gtyp_Interface_TXT_Controler.Subscribe.State_NFC_Device.History[0].i_code,gtyp_Interface_TXT_Controler.Subscribe.State_NFC_Device.History[1].i_code,gtyp_Interface_TXT_Controler.Subscribe.State_NFC_Device.History[2].i_code,gtyp_Interface_TXT_Controler.Subscribe.State_NFC_Device.History[3].i_code,gtyp_Interface_TXT_Controler.Subscribe.State_NFC_Device.History[4].i_code,gtyp_Interface_TXT_Controler.Subscribe.State_NFC_Device.History[5].i_code,gtyp_Interface_TXT_Controler.Subscribe.State_NFC_Device.History[6].i_code,QX_VGR_ValveVacuum_Q8
0,0,0,0,0,0,0,0,0,0,0,04565c92186581,WHITE,RAW,100,200,0,0,0,0,0,False
0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,True
0,0,0,0,0,0,0,0,0,0,0,4.84559E+12,NONE,RAW,100,0,0,0,0,0,0,True
0,0,0,0,0,0,0,0,0,0,0,4.84559E+12,WHITE,RAW,100,200,0,0,0,0,0,True
0,0,0,0,0,0,0,0,0,0,0,4.84559E+12,WHITE,RAW,100,200,0,0,0,0,0,False
0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,False
0,0,0,0,0,0,0,0,0,0,0,049d5c92186580,NONE,RAW,100,0,0,0,0,0,0,True
0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,False
0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,False
0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,True
0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,False
0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,True
0,0,0,0,0,0,0,0,0,0,0,046e5692186580,WHITE,PROCESSED,100,200,300,400,500,600,700,True
0,0,0,0,0,0,0,0,0,0,0,4.14949E+12,BLUE,RAW,100,200,0,0,0,0,0,True
0,0,0,0,0,0,0,0,0,0,0,4.14949E+12,BLUE,RAW,100,200,0,0,0,0,0,False
0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,True
0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,False
0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,True
0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,False
0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,False
