IX_HBW_LightBarrierOutside_I3,IX_HBW_RefSwitchVerticalAxis_I4,IX_HBW_TrailSensor1Lower_A1,IX_HBW_TrailSensor2Upper_A2,IX_HBW_EncoderVerticalAxisImp1_B3,IX_HBW_EncoderVerticalAxisImp2_B4,IX_HBW_EncoderHorizontalAxisImp1_B1,IX_HBW_EncoderHorizontalAxisImp2_B2,IX_HBW_SwitchCantileverFront_I5,IX_HBW_SwitchCantileverBack_I6,IX_SLD_PulseCounter_I1,IX_SLD_LightBarrierInlet_I2,IX_SLD_LightBarrierBehindColorSensor_I3,IX_SLD_LightBarrierWhite_I5,IX_SLD_LightBarrierRed_I6,IX_SLD_LightBarrierBlue_I7,IX_SSC_RefSwitchVerticalAxis_I1,IX_SSC_RefSwitchHorizontalAxis_I2,IX_SSC_LightBarrierStorage_I3,IX_SSC_LightBarrierOutsourcing_I4,IX_SSC_EncoderVerticalAxisImp1_B1,IX_SSC_EncoderVerticalAxisImp2_B2,IX_SSC_EncoderHorizontalAxisImp1_B3,IX_SSC_EncoderHorizontalAxisImp2_B4,IW_SLD_ColorSensor_A4,IW_SSC_ColorSensor_A1,IX_VGR_EncoderVerticalAxisImp1_B1,IX_VGR_EncoderVerticalAxisImp2_B2,IX_VGR_EncoderHorizontalAxisImp1_B3,IX_VGR_EncoderHorizontalAxisImp2_B4,IX_VGR_EncoderRotateImp1_B5,IX_VGR_EncoderRotateImp2_B6,IX_Set_Park_Position,QX_VGR_M1_VerticalAxisUp_Q1,QX_VGR_M1_VerticalAxisDown_Q2,QX_VGR_M2_HorizontalAxisBackward_Q3,QX_VGR_M2_HorizontalAxisForward_Q4,QX_VGR_M3_RotateClockwise_Q5,QX_VGR_M3_RotateCounterclockwise_Q6,QX_VGR_Compressor_Q7,QX_VGR_ValveVacuum_Q8
True,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True,False,False,True,True,True,False,True,True,65423,108,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,False,False,True,True,True,False,False,False,65423,109,False,False,True,False,False,False,False,False,False,False,True,False,True,True,True
False,False,False,False,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,False,65331,201,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True
False,False,False,False,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,False,True,False,65425,107,False,True,True,True,False,True,False,False,True,False,False,False,False,True,True
True,False,False,False,True,False,True,False,False,True,False,True,True,True,True,True,False,False,True,True,True,False,False,True,65422,111,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False
True,True,False,False,False,True,True,False,False,True,False,True,True,True,True,True,False,False,True,False,True,False,True,False,65422,110,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False
False,False,False,False,False,True,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,False,65266,259,False,False,False,True,False,False,False,False,False,False,True,False,True,True,True
True,False,False,False,False,True,True,True,False,False,False,True,True,True,True,True,False,False,True,True,True,False,True,True,65422,110,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,True,False,True,False,True,False,True,True,True,True,True,False,False,True,True,True,False,False,True,65427,105,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,False,65426,107,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True
True,True,False,False,False,True,True,True,False,True,False,True,True,True,True,True,False,False,True,True,True,False,False,True,65149,385,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,False,True,False,65428,104,False,True,False,False,True,True,False,False,False,True,False,False,False,True,True
True,False,False,False,True,False,True,True,True,False,True,True,True,True,True,True,False,False,False,True,True,False,True,False,65296,240,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True
False,False,False,False,False,False,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,False,False,True,65417,111,True,False,False,True,True,True,False,False,False,False,False,False,True,True,True
True,True,False,False,False,True,False,True,False,True,True,True,True,True,True,True,False,False,True,True,True,False,False,False,65427,105,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False
True,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,False,True,False,65424,109,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True
True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,65433,100,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,65426,107,True,True,True,False,False,True,False,False,False,True,False,False,False,True,True
True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,65427,106,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,True,True,True,False,False,False,65428,104,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
