QX_VGR_ValveVacuum_Q8,QX_HBW_M1_ConveyorBeltForward_Q1,QX_HBW_M1_ConveyorBeltBackward_Q2,QX_HBW_M2_HorizontalTowardsRack_Q3,QX_HBW_M2_HorizontalTowardsConveyorBelt_Q4,QX_HBW_M3_VerticalAxisDownward_Q5,QX_HBW_M3_VerticalAxisUpward_Q6,QX_HBW_M4_CantileverForward_Q7,QX_HBW_M4_CantileverBackward_Q8,QX_MPO_M1_TurnTableClockwise_Q1,QX_MPO_M1_TurnTableCounterclockwise_Q2,QX_MPO_M2_ConveyorBeltForward_Q3,QX_MPO_M3_Saw_Q4,QX_MPO_M4_OvenFeederRetract_Q5,QX_MPO_M4_OvenFeederExtend_Q6,QX_MPO_M5_VacuumTowardsOven_Q7,QX_MPO_M5_VacuumTowardsTurnTable_Q8,QX_MPO_LightOven_Q9,QX_MPO_Compressor_Q10,QX_MPO_ValveVacuum_Q11,QX_MPO_ValveLowering_Q12,QX_MPO_ValveOvenDoor_Q13,QX_MPO_ValveFeeder_Q14,QX_SLD_M1_ConveyorBelt_Q1,QX_SLD_Compressor_Q2,QX_SLD_ValveFirstEjectorWhite_Q3,QX_SLD_ValveSecondEjectorRed_Q4,QX_SLD_ValveThirdEjectorBlue_Q5,QX_SSC_M1_VerticalAxisUp_Q1,QX_SSC_M1_VerticalAxisDown_Q2,QX_SSC_M2_HorizontalAxisClockwise_Q3,QX_SSC_M2_HorizontalAxisCounterclockwise_Q4,QX_SSC_LED_Green_Q5,QX_SSC_LED_Yellow_Q6,QX_SSC_LED_Red_Q7,QX_SSC_LED_Red_Online_Q8,QW_VGR_PWM_Vertical_M1,QW_VGR_PWM_Horizontal_M2,QW_VGR_PWM_Rotate_M3,QW_MPO_PWM_TurnTable_M1
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,800,500,500,1000
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,800,500,500,1000
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,800,500,500,1000
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,800,500,500,1000
False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,800,500,500,1000
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,800,500,500,1000
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,800,500,500,1000
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,800,500,500,1000
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,800,500,500,1000
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,800,500,500,1000
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,800,500,500,1000
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,800,500,500,1000
True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,800,500,500,1000
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,800,500,500,1000
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,800,500,500,1000
True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,800,500,500,1000
False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,800,500,500,1000
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,800,500,500,1000
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,800,500,500,1000
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,800,500,500,1000
