QW_MPO_PWM_Vacuum_M5,QW_HBW_PWM_ConveyorBelt_M1,QW_HBW_PWM_HorizontalAxis_M2,QW_HBW_PWM_VerticalAxis_M3,QW_HBW_PWM_Cantilever_M4,QW_SSC_PWM_Vertical_M1,QW_SSC_PWM_Horizontal_M2,QX_VGR_ValveVacuum_Q8
1000,800,700,600,1000,1000,1000,False
1000,800,700,600,1000,1000,1000,True
1000,800,700,600,1000,1000,1000,True
1000,800,700,600,1000,1000,1000,True
1000,800,700,600,1000,1000,1000,False
1000,800,700,600,1000,1000,1000,False
1000,800,700,600,1000,1000,1000,True
1000,800,700,600,1000,1000,1000,False
1000,800,700,600,1000,1000,1000,False
1000,800,700,600,1000,1000,1000,True
1000,800,700,600,1000,1000,1000,False
1000,800,700,600,1000,1000,1000,True
1000,800,700,600,1000,1000,1000,True
1000,800,700,600,1000,1000,1000,True
1000,800,700,600,1000,1000,1000,False
1000,800,700,600,1000,1000,1000,True
1000,800,700,600,1000,1000,1000,False
1000,800,700,600,1000,1000,1000,True
1000,800,700,600,1000,1000,1000,False
1000,800,700,600,1000,1000,1000,False
