gtyp_VGR.horizontal_Axis.Config.di_Neg_Soft_Switch,gtyp_VGR.horizontal_Axis.Config.di_Ref_Pos,gtyp_VGR.horizontal_Axis.Config.di_Loop_Value,gtyp_VGR.horizontal_Axis.Config.di_Pos_Window,gtyp_VGR.horizontal_Axis.x_Start_Positioning,gtyp_VGR.horizontal_Axis.x_Reference,gtyp_VGR.horizontal_Axis.x_Referenced,gtyp_VGR.horizontal_Axis.x_Position_Reached,gtyp_VGR.horizontal_Axis.di_Increment,gtyp_VGR.horizontal_Axis.i_PWM,gtyp_VGR.vertical_Axis.di_Target_Position,gtyp_VGR.vertical_Axis.di_Actual_Position,gtyp_VGR.vertical_Axis.Config.di_Pos_Soft_Switch,gtyp_VGR.vertical_Axis.Config.di_Neg_Soft_Switch,gtyp_VGR.vertical_Axis.Config.di_Ref_Pos,gtyp_VGR.vertical_Axis.Config.di_Loop_Value,gtyp_VGR.vertical_Axis.Config.di_Pos_Window,gtyp_VGR.vertical_Axis.x_Start_Positioning,gtyp_VGR.vertical_Axis.x_Reference,gtyp_VGR.vertical_Axis.x_Referenced,gtyp_VGR.vertical_Axis.x_Position_Reached,gtyp_VGR.vertical_Axis.di_Increment,gtyp_VGR.vertical_Axis.i_PWM,gtyp_VGR.rotate_Axis.di_Target_Position,gtyp_VGR.rotate_Axis.di_Actual_Position,gtyp_VGR.rotate_Axis.Config.di_Pos_Soft_Switch,gtyp_VGR.rotate_Axis.Config.di_Neg_Soft_Switch,gtyp_VGR.rotate_Axis.Config.di_Ref_Pos,gtyp_VGR.rotate_Axis.Config.di_Loop_Value,gtyp_VGR.rotate_Axis.Config.di_Pos_Window,gtyp_VGR.rotate_Axis.x_Start_Positioning,gtyp_VGR.rotate_Axis.x_Reference,gtyp_VGR.rotate_Axis.x_Referenced,gtyp_VGR.rotate_Axis.x_Position_Reached,gtyp_VGR.rotate_Axis.di_Increment,gtyp_VGR.rotate_Axis.i_PWM,gtyp_VGR.di_Pos_DSI_horizontal,gtyp_VGR.di_Pos_MPO_horizontal,gtyp_VGR.di_Pos_HBW_horizontal,gtyp_VGR.di_Pos_DSI_rotate,QX_VGR_ValveVacuum_Q8
0,0,0,15,False,False,True,True,593,500,200,107,20000,0,0,0,15,True,False,True,False,209,800,5350,5346,20000,0,0,0,15,False,False,True,True,5346,500,20,3400,600,30,False
0,0,0,15,False,False,True,False,0,500,200,0,20000,0,0,0,15,False,False,True,False,0,800,5350,0,20000,0,0,0,15,False,False,True,False,0,500,20,3400,600,30,True
0,0,0,15,False,False,True,True,896,500,2450,2460,20000,0,0,0,15,False,False,True,True,2460,800,700,695,20000,0,0,0,15,False,False,True,True,695,500,20,3400,600,30,True
0,0,0,15,False,False,True,True,894,500,1250,1477,20000,0,0,0,15,True,False,True,False,1405,800,700,695,20000,0,0,0,15,False,False,True,True,695,500,20,3400,600,30,True
0,0,0,15,False,False,True,False,0,500,200,0,20000,0,0,0,15,False,False,True,False,0,800,5350,5120,20000,0,0,0,15,False,True,False,False,5040,500,20,3400,600,30,False
0,0,0,15,False,False,True,False,0,500,200,0,20000,0,0,0,15,False,False,True,False,0,800,5350,0,20000,0,0,0,15,False,False,True,False,0,500,20,3400,600,30,False
0,0,0,15,False,False,True,True,13,500,2950,2721,20000,0,0,0,15,True,False,True,False,2832,800,30,22,20000,0,0,0,15,False,False,True,True,22,500,20,3400,600,30,True
0,0,0,15,False,False,True,True,895,500,1250,1248,20000,0,0,0,15,False,True,False,False,867,800,5350,1007,20000,0,0,0,15,True,False,True,False,1369,500,20,3400,600,30,False
0,0,0,15,False,False,True,False,0,500,200,0,20000,0,0,0,15,False,False,True,False,0,800,5350,0,20000,0,0,0,15,False,False,True,False,0,500,20,3400,600,30,False
0,0,0,15,False,False,True,False,0,500,200,0,20000,0,0,0,15,False,False,True,False,0,800,5350,0,20000,0,0,0,15,False,False,True,False,0,500,20,3400,600,30,True
0,0,0,15,True,False,True,False,1033,500,1150,1155,20000,0,0,0,15,False,False,True,True,1155,800,3500,3503,20000,0,0,0,15,False,False,True,True,3503,500,20,3400,600,30,False
0,0,0,15,False,False,True,False,0,500,1150,0,20000,0,0,0,15,False,False,True,False,0,800,3500,0,20000,0,0,0,15,False,False,True,False,0,500,20,3400,600,30,True
0,0,0,15,True,False,True,False,896,500,1250,1244,20000,0,0,0,15,False,False,True,False,1309,800,700,705,20000,0,0,0,15,False,False,True,True,705,500,20,3400,600,30,True
0,0,0,15,False,False,True,True,894,500,2450,2454,20000,0,0,0,15,False,False,True,True,2454,800,700,699,20000,0,0,0,15,False,False,True,True,699,500,20,3400,600,30,True
0,0,0,15,False,True,False,False,0,500,200,0,20000,0,0,0,15,False,False,True,False,0,800,5350,5035,20000,0,0,0,15,False,True,False,False,4845,500,20,3400,600,30,False
0,0,0,15,False,False,True,False,0,500,200,0,20000,0,0,0,15,False,False,True,False,0,800,5350,0,20000,0,0,0,15,False,False,True,False,0,500,20,3400,600,30,True
0,0,0,15,True,False,True,False,2829,500,1150,1163,20000,0,0,0,15,False,False,True,True,1163,800,3500,3501,20000,0,0,0,15,False,False,True,True,3501,500,20,3400,600,30,False
0,0,0,15,False,False,True,False,0,500,1150,0,20000,0,0,0,15,False,False,True,False,0,800,3500,2824,20000,0,0,0,15,False,True,False,False,2824,500,20,3400,600,30,True
0,0,0,15,False,False,True,True,896,500,2450,2457,20000,0,0,0,15,False,False,True,True,2457,800,700,700,20000,0,0,0,15,False,False,True,True,700,500,20,3400,600,30,False
0,0,0,15,False,False,True,False,0,500,1480,0,20000,0,0,0,15,False,False,True,False,0,800,970,0,20000,0,0,0,15,False,False,True,False,0,500,20,3400,600,30,False
