gtyp_VGR.di_Pos_MPO_rotate,gtyp_VGR.di_Pos_HBW_rotate,gtyp_VGR.di_Pos_NFC_vertical,gtyp_VGR.di_Pos_NFC_horizontal,gtyp_VGR.di_Pos_NFC_rotate,gtyp_VGR.di_Pos_Color_vertical,gtyp_VGR.di_Pos_Color_horizontal,gtyp_VGR.di_Pos_Color_rotate,gtyp_VGR.di_Offset_Pos_DSI_NFC_vertical,gtyp_VGR.di_Offset_Pos_HBW_vertical,gtyp_VGR.x_NFC_Completed,gtyp_VGR.x_NFC_Start,gtyp_VGR.di_Offset_Pos_HBW_horizontal,gtyp_VGR.x_HBW_Discards,gtyp_VGR.x_HBW_PickedUp,gtyp_VGR.x_HBW_Storage,gtyp_VGR.x_NFC_Start_First,gtyp_VGR.Workpiece.s_id,gtyp_VGR.Workpiece.s_type,gtyp_VGR.Workpiece.s_state,gtyp_VGR.History[0].i_code,gtyp_VGR.History[1].i_code,gtyp_VGR.History[2].i_code,gtyp_VGR.History[3].i_code,gtyp_VGR.History[4].i_code,gtyp_VGR.History[5].i_code,gtyp_VGR.History[6].i_code,gtyp_VGR.History[7].i_code,gtyp_VGR.History[8].i_code,gtyp_VGR.History[9].i_code,QX_VGR_ValveVacuum_Q8
3500,5350,2450,900,700,2450,150,430,1200,100,False,False,0,True,False,True,False,04565c92186581,WHITE,RAW,100,200,0,0,0,0,0,0,0,0,False
3500,5350,2450,900,700,2450,150,430,1200,100,False,False,0,False,False,False,False,,,,0,0,0,0,0,0,0,0,0,0,True
3500,5350,2450,900,700,2450,150,430,1200,100,False,False,0,False,False,True,True,,,RAW,100,0,0,0,0,0,0,0,0,0,True
3500,5350,2450,900,700,2450,150,430,1200,100,False,False,0,False,False,True,False,4.84559E+12,WHITE,RAW,100,200,0,0,0,0,0,0,0,0,True
3500,5350,2450,900,700,2450,150,430,1200,100,False,False,0,False,False,False,False,,,,0,0,0,0,0,0,0,0,0,0,False
3500,5350,2450,900,700,2450,150,430,1200,100,False,False,0,False,False,False,False,,,,0,0,0,0,0,0,0,0,0,0,False
3500,5350,2450,900,700,2450,150,430,1200,100,False,False,0,False,False,True,False,,,RAW,100,0,0,0,0,0,0,0,0,0,True
3500,5350,2450,900,700,2450,150,430,1200,100,False,False,0,False,False,True,False,049d5c92186580,BLUE,RAW,100,200,0,0,0,0,0,0,0,0,False
3500,5350,2450,900,700,2450,150,430,1200,100,False,False,0,False,False,False,False,,,,0,0,0,0,0,0,0,0,0,0,False
3500,5350,2450,900,700,2450,150,430,1200,100,False,False,0,False,False,False,False,,,,0,0,0,0,0,0,0,0,0,0,True
3500,5350,2450,900,700,2450,150,430,1200,100,False,False,0,False,False,False,False,04565c92186581,WHITE,RAW,100,200,300,400,0,0,0,0,0,0,False
3500,5350,2450,900,700,2450,150,430,1200,100,False,False,0,False,False,False,False,0,,,0,0,0,0,0,0,0,0,0,0,True
3500,5350,2450,900,700,2450,150,430,1200,100,False,True,0,False,False,False,False,04565c92186581,WHITE,PROCESSED,100,200,300,400,500,600,700,800,0,0,True
3500,5350,2450,900,700,2450,150,430,1200,100,False,False,0,False,False,True,True,4.14949E+12,,RAW,100,0,0,0,0,0,0,0,0,0,True
3500,5350,2450,900,700,2450,150,430,1200,100,False,False,0,False,False,False,False,,,,0,0,0,0,0,0,0,0,0,0,False
3500,5350,2450,900,700,2450,150,430,1200,100,False,False,0,False,False,False,False,,,,0,0,0,0,0,0,0,0,0,0,True
3500,5350,2450,900,700,2450,150,430,1200,100,False,False,0,False,False,False,False,049d5c92186580,BLUE,RAW,100,200,300,400,0,0,0,0,0,0,False
3500,5350,2450,900,700,2450,150,430,1200,100,False,False,0,False,False,False,False,0,,,0,0,0,0,0,0,0,0,0,0,True
3500,5350,2450,900,700,2450,150,430,1200,100,False,True,0,False,False,False,False,049d5c92186580,BLUE,PROCESSED,100,200,300,400,500,600,700,800,0,0,False
3500,5350,2450,900,700,2450,150,430,1200,100,False,False,0,False,False,False,False,0,,,0,0,0,0,0,0,0,0,0,0,False
