gtyp_MPO.x_Park_Position_Reached,gtyp_MPO.x_Start_Park_Position,gtyp_SSC.Horizontal_Axis.di_Target_Position,gtyp_SSC.Horizontal_Axis.di_Actual_Position,gtyp_SSC.Horizontal_Axis.Config.di_Pos_Soft_Switch,gtyp_SSC.Horizontal_Axis.Config.di_Neg_Soft_Switch,gtyp_SSC.Horizontal_Axis.Config.di_Ref_Pos,gtyp_SSC.Horizontal_Axis.Config.di_Loop_Value,gtyp_SSC.Horizontal_Axis.Config.di_Pos_Window,gtyp_SSC.Horizontal_Axis.x_Start_Positioning,gtyp_SSC.Horizontal_Axis.x_Reference,gtyp_SSC.Horizontal_Axis.x_Referenced,gtyp_SSC.Horizontal_Axis.x_Position_Reached,gtyp_SSC.Horizontal_Axis.di_Increment,gtyp_SSC.Horizontal_Axis.i_PWM,gtyp_SSC.Vertical_Axis.di_Target_Position,gtyp_SSC.Vertical_Axis.di_Actual_Position,gtyp_SSC.Vertical_Axis.Config.di_Pos_Soft_Switch,gtyp_SSC.Vertical_Axis.Config.di_Neg_Soft_Switch,gtyp_SSC.Vertical_Axis.Config.di_Ref_Pos,gtyp_SSC.Vertical_Axis.Config.di_Loop_Value,gtyp_SSC.Vertical_Axis.Config.di_Pos_Window,gtyp_SSC.Vertical_Axis.x_Start_Positioning,gtyp_SSC.Vertical_Axis.x_Reference,gtyp_SSC.Vertical_Axis.x_Referenced,gtyp_SSC.Vertical_Axis.x_Position_Reached,gtyp_SSC.Vertical_Axis.di_Increment,gtyp_SSC.Vertical_Axis.i_PWM,gtyp_SSC.di_Pos_Centre_Horizontal,gtyp_SSC.di_Pos_Centre_Vertical,gtyp_SSC.di_Pos_HBW_Horizontal,gtyp_SSC.di_Pos_HBW_Vertical,gtyp_SSC.Workpiece.s_id,gtyp_SSC.Workpiece.s_type,gtyp_SSC.Workpiece.s_state,gtyp_SSC.History[0].i_code,gtyp_SSC.History[1].i_code,QX_VGR_ValveVacuum_Q8
False,False,0,25852,5450,0,0,0,25,False,True,False,False,25643,1000,0,-1,3000,0,0,0,25,False,True,False,False,-1,1000,3000,1400,5400,950,,,,0,0,False
False,False,0,6831,5450,0,0,0,25,False,True,False,False,6597,1000,0,-1,3000,0,0,0,25,False,True,False,False,-1,1000,3000,1400,5400,950,,,,0,0,True
False,False,0,-13526,5450,0,0,0,25,False,True,False,False,-13620,1000,0,-1,3000,0,0,0,25,False,True,False,False,-1,1000,3000,1400,5400,950,,,,0,0,True
False,False,0,32266,5450,0,0,0,25,False,True,False,False,32133,1000,0,-1,3000,0,0,0,25,False,True,False,False,-1,1000,3000,1400,5400,950,,,,0,0,True
False,False,0,13750,5450,0,0,0,25,False,True,False,False,13658,1000,0,-1,3000,0,0,0,25,False,True,False,False,-1,1000,3000,1400,5400,950,,,,0,0,False
False,False,0,-3956,5450,0,0,0,25,False,True,False,False,-4052,1000,0,-1,3000,0,0,0,25,False,True,False,False,-1,1000,3000,1400,5400,950,,,,0,0,False
False,False,0,-23879,5450,0,0,0,25,False,True,False,False,-24037,1000,0,-1,3000,0,0,0,25,False,True,False,False,-1,1000,3000,1400,5400,950,,,,0,0,True
False,False,0,2591,5450,0,0,0,25,False,True,False,False,2412,1000,0,-1,3000,0,0,0,25,False,True,False,False,-1,1000,3000,1400,5400,950,,,,0,0,False
False,False,0,26044,5450,0,0,0,25,False,True,False,False,25947,1000,0,-1,3000,0,0,0,25,False,True,False,False,-1,1000,3000,1400,5400,950,,,,0,0,False
False,False,0,-12111,5450,0,0,0,25,False,True,False,False,-12205,1000,0,-1,3000,0,0,0,25,False,True,False,False,-1,1000,3000,1400,5400,950,,,,0,0,True
False,False,0,15115,5450,0,0,0,25,False,True,False,False,15009,1000,0,-1,3000,0,0,0,25,False,True,False,False,-1,1000,3000,1400,5400,950,,,,0,0,False
False,False,0,-19897,5450,0,0,0,25,False,True,False,False,-20012,1000,0,-1,3000,0,0,0,25,False,True,False,False,-1,1000,3000,1400,5400,950,,,,0,0,True
False,False,0,3489,5450,0,0,0,25,False,True,False,False,3323,1000,0,-1,3000,0,0,0,25,False,True,False,False,-1,1000,3000,1400,5400,950,,,,0,0,True
False,False,0,28977,5450,0,0,0,25,False,True,False,False,28194,1000,0,-1,3000,0,0,0,25,False,True,False,False,-1,1000,3000,1400,5400,950,04565c92186581,WHITE,PROCESSED,100,200,True
False,False,0,-10985,5450,0,0,0,25,False,True,False,False,-11277,1000,0,-1,3000,0,0,0,25,False,True,False,False,-1,1000,3000,1400,5400,950,04565c92186581,WHITE,PROCESSED,100,200,False
False,False,0,16962,5450,0,0,0,25,False,True,False,False,16317,1000,0,-1,3000,0,0,0,25,False,True,False,False,-1,1000,3000,1400,5400,950,04565c92186581,WHITE,PROCESSED,100,200,True
False,False,0,-22267,5450,0,0,0,25,False,True,False,False,-22619,1000,0,-1,3000,0,0,0,25,False,True,False,False,-1,1000,3000,1400,5400,950,04565c92186581,WHITE,PROCESSED,100,200,False
False,False,0,8601,5450,0,0,0,25,False,True,False,False,8507,1000,0,-1,3000,0,0,0,25,False,True,False,False,-1,1000,3000,1400,5400,950,04565c92186581,WHITE,PROCESSED,100,200,True
False,False,0,-27555,5450,0,0,0,25,False,True,False,False,-27646,1000,0,-1,3000,0,0,0,25,False,True,False,False,-1,1000,3000,1400,5400,950,04565c92186581,WHITE,PROCESSED,100,200,False
False,False,0,-1398,5450,0,0,0,25,False,True,False,False,-2263,1000,0,-1,3000,0,0,0,25,False,True,False,False,-1,1000,3000,1400,5400,950,049d5c92186580,BLUE,PROCESSED,100,200,False
