QX_HBW_M1_ConveyorBeltBackward_Q2,gtyp_HBW.Horizontal_Axis.Config.di_Pos_Window,gtyp_HBW.Horizontal_Axis.i_PWM,gtyp_HBW.Vertical_Axis.Config.di_Pos_Window,gtyp_HBW.Vertical_Axis.i_PWM,gtyp_HBW.di_Offset_Pos_Belt_Vertical,gtyp_HBW.di_Offset_Pos_Rack_Vertical,gtyp_HBW.di_PosBelt_Horizontal,gtyp_HBW.di_PosBelt_Vertical,gtyp_HBW.di_Pos_Park_Horizontal,gtyp_HBW.di_Pos_Park_Vertical,gtyp_VGR.di_Pos_Color_rotate,gtyp_VGR.di_Pos_DSI_Collect_vertical,gtyp_VGR.di_Pos_DSI_horizontal,gtyp_VGR.di_Pos_DSI_rotate,gtyp_VGR.di_Pos_DSO_Discard_vertical,gtyp_VGR.di_Pos_DSO_horizontal,gtyp_VGR.di_Pos_DSO_rotate,gtyp_VGR.di_Pos_HBW_Collect_vertical,gtyp_VGR.di_Pos_HBW_Discard_vertical,gtyp_VGR.di_Pos_HBW_horizontal,gtyp_VGR.di_Pos_HBW_rotate,gtyp_VGR.di_Pos_MPO_horizontal,gtyp_VGR.di_Pos_MPO_rotate,gtyp_VGR.di_Pos_MPO_vertical,gtyp_VGR.di_Pos_NFC_horizontal
Boolean,Int32,Int16,Int32,Int16,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32
FALSE,15,700,15,600,370,370,18,2800,600,3200,430,2950,20,30,1480,2070,970,650,200,600,5350,3400,3500,1800,900
FALSE,15,700,15,600,370,370,18,2800,600,3200,430,2950,20,30,1480,2070,970,650,200,600,5350,3400,3500,1800,900
FALSE,15,700,15,600,370,370,18,2800,600,3200,430,2950,20,30,1480,2070,970,650,200,600,5350,3400,3500,1800,900
FALSE,15,700,15,600,370,370,18,2800,600,3200,430,2950,20,30,1480,2070,970,650,200,600,5350,3400,3500,1800,900
FALSE,15,700,15,600,370,370,18,2800,600,3200,430,2950,20,30,1480,2070,970,650,200,600,5350,3400,3500,1800,900
FALSE,15,700,15,600,370,370,18,2800,600,3200,430,2950,20,30,1480,2070,970,650,200,600,5350,3400,3500,1800,900
FALSE,15,700,15,600,370,370,18,2800,600,3200,430,2950,20,30,1480,2070,970,650,200,600,5350,3400,3500,1800,900
FALSE,15,700,15,600,370,370,18,2800,600,3200,430,2950,20,30,1480,2070,970,650,200,600,5350,3400,3500,1800,900
FALSE,15,700,15,600,370,370,18,2800,600,3200,430,2950,20,30,1480,2070,970,650,200,600,5350,3400,3500,1800,900
FALSE,15,700,15,600,370,370,18,2800,600,3200,430,2950,20,30,1480,2070,970,650,200,600,5350,3400,3500,1800,900
FALSE,15,700,15,600,370,370,18,2800,600,3200,430,2950,20,30,1480,2070,970,650,200,600,5350,3400,3500,1800,900
FALSE,15,700,15,600,370,370,18,2800,600,3200,430,2950,20,30,1480,2070,970,650,200,600,5350,3400,3500,1800,900
FALSE,15,700,15,600,370,370,18,2800,600,3200,430,2950,20,30,1480,2070,970,650,200,600,5350,3400,3500,1800,900
FALSE,15,700,15,600,370,370,18,2800,600,3200,430,2950,20,30,1480,2070,970,650,200,600,5350,3400,3500,1800,900
FALSE,15,700,15,600,370,370,18,2800,600,3200,430,2950,20,30,1480,2070,970,650,200,600,5350,3400,3500,1800,900
FALSE,15,700,15,600,370,370,18,2800,600,3200,430,2950,20,30,1480,2070,970,650,200,600,5350,3400,3500,1800,900
