gtyp_SSC.Horizontal_Axis.x_Referenced,gtyp_SSC.Horizontal_Axis.x_Position_Reached,gtyp_SSC.Horizontal_Axis.di_Increment,gtyp_SSC.Horizontal_Axis.i_PWM,gtyp_SSC.Vertical_Axis.di_Target_Position,gtyp_SSC.Vertical_Axis.di_Actual_Position,gtyp_SSC.Vertical_Axis.Config.di_Pos_Soft_Switch,gtyp_SSC.Vertical_Axis.Config.di_Neg_Soft_Switch,gtyp_SSC.Vertical_Axis.Config.di_Pos_Window,gtyp_SSC.Vertical_Axis.x_Start_Positioning,gtyp_SSC.Vertical_Axis.x_Reference,gtyp_SSC.Vertical_Axis.x_Referenced,gtyp_SSC.Vertical_Axis.x_Position_Reached,gtyp_SSC.Vertical_Axis.di_Increment,gtyp_SSC.Vertical_Axis.i_PWM,gtyp_SSC.di_Pos_Centre_Horizontal,gtyp_SSC.di_Pos_Centre_Vertical,gtyp_SSC.di_Pos_HBW_Horizontal,gtyp_SSC.di_Pos_HBW_Vertical,gtyp_SSC.x_Park_Position_Reached,gtyp_SSC.x_Start_Park_Position,gtyp_SSC.di_Pos_Park_Horizontal,gtyp_SSC.di_Pos_Park_Vertical,gtyp_HBW.x_HBW_Discards_Accepted,gtyp_HBW.di_PosBelt_Horizontal,gtyp_HBW.di_PosBelt_Vertical,gtyp_HBW.Horizontal_Axis.di_Target_Position,gtyp_HBW.Horizontal_Axis.di_Actual_Position,gtyp_HBW.Horizontal_Axis.Config.di_Pos_Window,gtyp_HBW.Horizontal_Axis.x_Start_Positioning,gtyp_HBW.Horizontal_Axis.x_Reference,gtyp_HBW.Horizontal_Axis.x_Referenced,gtyp_HBW.Horizontal_Axis.x_Position_Reached,gtyp_HBW.Horizontal_Axis.di_Increment,gtyp_HBW.Horizontal_Axis.i_PWM,gtyp_HBW.Vertical_Axis.di_Target_Position,gtyp_HBW.Vertical_Axis.di_Actual_Position,gtyp_HBW.Vertical_Axis.Config.di_Pos_Window,gtyp_HBW.Vertical_Axis.x_Start_Positioning,gtyp_HBW.Vertical_Axis.x_Reference,QX_VGR_Compressor_Q7
FALSE,FALSE,25643,1000,0,-1,3000,0,25,FALSE,TRUE,FALSE,FALSE,-1,1000,3000,1400,5400,950,FALSE,FALSE,3000,200,TRUE,18,2800,18,20,15,FALSE,FALSE,TRUE,TRUE,20,700,2430,2432,15,FALSE,FALSE,FALSE
FALSE,FALSE,6597,1000,0,-1,3000,0,25,FALSE,TRUE,FALSE,FALSE,-1,1000,3000,1400,5400,950,FALSE,FALSE,3000,200,TRUE,18,2800,2870,0,15,FALSE,FALSE,TRUE,FALSE,0,700,400,0,15,FALSE,FALSE,TRUE
FALSE,FALSE,-13620,1000,0,-1,3000,0,25,FALSE,TRUE,FALSE,FALSE,-1,1000,3000,1400,5400,950,FALSE,FALSE,3000,200,TRUE,18,2800,2870,-795,15,FALSE,TRUE,FALSE,FALSE,-969,700,2430,2428,15,FALSE,FALSE,TRUE
FALSE,FALSE,32133,1000,0,-1,3000,0,25,FALSE,TRUE,FALSE,FALSE,-1,1000,3000,1400,5400,950,FALSE,FALSE,3000,200,TRUE,18,2800,18,23,15,FALSE,FALSE,TRUE,TRUE,23,700,2800,2802,15,FALSE,FALSE,TRUE
FALSE,FALSE,13658,1000,0,-1,3000,0,25,FALSE,TRUE,FALSE,FALSE,-1,1000,3000,1400,5400,950,FALSE,FALSE,3000,200,TRUE,18,2800,2870,2264,15,TRUE,FALSE,TRUE,FALSE,2339,700,1380,1386,15,FALSE,FALSE,FALSE
FALSE,FALSE,-4052,1000,0,-1,3000,0,25,FALSE,TRUE,FALSE,FALSE,-1,1000,3000,1400,5400,950,FALSE,FALSE,3000,200,TRUE,18,2800,2870,0,15,FALSE,FALSE,TRUE,FALSE,0,700,1750,0,15,FALSE,FALSE,FALSE
FALSE,FALSE,-24037,1000,0,-1,3000,0,25,FALSE,TRUE,FALSE,FALSE,-1,1000,3000,1400,5400,950,FALSE,FALSE,3000,200,TRUE,18,2800,2870,2874,15,FALSE,FALSE,TRUE,TRUE,2874,700,3250,3247,15,FALSE,FALSE,TRUE
FALSE,FALSE,2412,1000,0,-1,3000,0,25,FALSE,TRUE,FALSE,FALSE,-1,1000,3000,1400,5400,950,FALSE,FALSE,3000,200,TRUE,18,2800,18,21,15,FALSE,FALSE,TRUE,TRUE,21,700,2800,2801,15,FALSE,FALSE,FALSE
FALSE,FALSE,25947,1000,0,-1,3000,0,25,FALSE,TRUE,FALSE,FALSE,-1,1000,3000,1400,5400,950,FALSE,FALSE,3000,200,TRUE,18,2800,2870,0,15,FALSE,FALSE,TRUE,FALSE,0,700,3250,432,15,FALSE,TRUE,FALSE
FALSE,FALSE,-12205,1000,0,-1,3000,0,25,FALSE,TRUE,FALSE,FALSE,-1,1000,3000,1400,5400,950,FALSE,FALSE,3000,200,TRUE,18,2800,2870,1177,15,TRUE,FALSE,TRUE,FALSE,1245,700,400,402,15,FALSE,FALSE,TRUE
