gtyp_HBW.Vertical_Axis.x_Reference,gtyp_HBW.Vertical_Axis.x_Referenced,gtyp_HBW.Vertical_Axis.x_Position_Reached,gtyp_HBW.Vertical_Axis.di_Increment,gtyp_HBW.Vertical_Axis.i_PWM,gtyp_HBW.di_Offset_Pos_Belt_Vertical,gtyp_HBW.x_HBW_Container_Available,gtyp_HBW.di_Offset_Pos_Rack_Vertical,gtyp_HBW.x_HBW_PickedUp_Accepted,gtyp_HBW.x_Park_Position_Reached,gtyp_HBW.x_Start_Park_Position,gtyp_HBW.di_Pos_Park_Horizontal,gtyp_HBW.di_Pos_Park_Vertical,gtyp_Setup.x_Set_Pos_Activ,gtyp_Setup.i_Pos_Selection,gtyp_Setup.x_Clean_Rack_HBW,gtyp_Setup.x_Color_Sensor_Calibration,gtyp_Setup.i_Color_Sensor_Selection,gtyp_Setup.x_Counter_Value_Calibration,gtyp_Setup.x_Park_Position,gtyp_Interface_TXT_Controler.Subscribe.State_NFC_Device.Workpiece.s_id,gtyp_Interface_TXT_Controler.Subscribe.State_NFC_Device.Workpiece.s_type,gtyp_Interface_TXT_Controler.Subscribe.State_NFC_Device.Workpiece.s_state,IX_MPO_RefSwitchTurnTable_PosVac_I1,IX_MPO_RefSwitchTurnTable_PosBelt_I2,IX_MPO_LightBarrierEndOfConBelt_I3,IX_MPO_RefSwitchTurnTable_PosSaw_I4,IX_MPO_RefSwitchOvenFeederInside_I6,IX_MPO_RefSwitchOvenFeederOutside_I7,IX_MPO_LightBarrierOven_I9,IX_HBW_LightBarrierOutside_I3,IX_SSC_RefSwitchVerticalAxis_I1,IX_SSC_RefSwitchHorizontalAxis_I2,IX_SSC_LightBarrierStorage_I3,IX_SSC_LightBarrierOutsourcing_I4,IX_Set_Park_Position,QX_MPO_Compressor_Q10,QX_SSC_LED_Green_Q5
False,True,True,2432,600,370,False,370,False,False,False,600,3200,False,0,False,False,0,False,False,04565c92186581,WHITE,RAW,True,False,True,False,True,False,True,True,False,False,True,True,False,False,False
False,True,False,0,600,370,False,370,False,False,False,600,3200,False,0,False,False,0,False,False,,,,True,False,True,False,True,False,True,True,False,False,True,True,False,False,False
False,True,True,2428,600,370,False,370,False,False,False,600,3200,False,0,False,False,0,False,False,4.84559E+12,NONE,RAW,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False
False,True,True,2802,600,370,True,370,False,False,False,600,3200,False,0,False,False,0,False,False,4.84559E+12,WHITE,RAW,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False
False,True,True,1386,600,370,False,370,False,False,False,600,3200,False,0,False,False,0,False,False,4.84559E+12,WHITE,RAW,True,False,True,False,True,False,True,True,False,False,True,True,False,False,False
False,True,False,0,600,370,False,370,False,False,False,600,3200,False,0,False,False,0,False,False,,,,True,False,True,False,True,False,True,True,False,False,True,False,False,False,True
False,True,True,3247,600,370,False,370,False,False,False,600,3200,False,0,False,False,0,False,False,049d5c92186580,NONE,RAW,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False
False,True,True,2801,600,370,True,370,False,False,False,600,3200,False,0,False,False,0,False,False,,,,True,False,True,False,True,False,True,True,False,False,True,True,False,False,False
True,False,False,388,600,370,False,370,False,False,False,600,3200,False,0,False,False,0,False,False,,,,True,False,True,False,True,False,True,True,False,False,True,True,False,False,True
False,True,True,402,600,370,False,370,False,False,False,600,3200,False,0,False,False,0,False,False,,,,True,False,True,False,True,False,True,False,False,False,True,True,False,True,False
False,True,False,364,600,370,False,370,True,False,False,600,3200,False,0,False,False,0,False,False,,,,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False
False,True,False,0,600,370,False,370,True,False,False,600,3200,False,0,False,False,0,False,False,,,,True,False,True,False,True,False,True,True,False,False,True,True,False,False,False
False,True,False,0,600,370,False,370,True,False,False,600,3200,False,0,False,False,0,False,False,046e5692186580,WHITE,PROCESSED,True,False,True,False,True,False,True,True,False,False,False,True,False,False,False
False,True,True,2802,600,370,True,370,True,False,False,600,3200,False,0,False,False,0,False,False,4.14949E+12,BLUE,RAW,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False
False,True,True,34,600,370,False,370,True,False,False,600,3200,False,0,False,False,0,False,False,4.14949E+12,BLUE,RAW,True,False,True,False,True,False,True,True,False,False,True,True,False,False,True
False,True,True,3252,600,370,False,370,True,False,False,600,3200,False,0,False,False,0,False,False,,,,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False
False,True,True,2882,600,370,False,370,True,False,False,600,3200,False,0,False,False,0,False,False,,,,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False
False,True,False,0,600,370,False,370,True,False,False,600,3200,False,0,False,False,0,False,False,,,,True,False,True,False,True,False,True,True,False,False,True,True,False,False,False
False,True,False,0,600,370,False,370,True,False,False,600,3200,False,0,False,False,0,False,False,,,,True,False,True,False,True,False,True,True,False,False,True,True,False,False,True
False,True,False,0,600,370,False,370,True,False,False,600,3200,False,0,False,False,0,False,False,,,,True,False,True,False,True,False,True,True,False,False,True,True,False,False,True
