IW8,MW2,QW2,IW4
55163,55295,0,65535
54941,55295,0,0
54802,55295,0,0
54871,55295,0,0
54940,55295,0,0
54940,55295,0,0
55077,55295,0,0
55145,55295,0,0
55214,55295,0,0
55214,55295,0,0
55350,55295,35199,0
55417,55295,65535,35199
55478,55295,65535,35199
55383,55295,65535,65535
55159,55295,0,65535
54936,55295,0,0
54726,55295,0,0
54794,55295,0,0
54861,55295,0,0
54929,55295,0,0
54996,55295,0,0
55060,55295,0,0
55115,55295,0,0
55155,55295,0,0
55175,55295,0,0
55163,55295,0,0
55125,55295,0,0
55088,55295,0,0
55050,55295,0,0
55013,55295,0,0
54975,55295,0,0
54938,55295,0,0
54900,55295,0,0
54863,55295,0,0
54825,55295,0,0
54787,55295,0,0
54750,55295,0,0
54713,55295,0,0
54675,55295,0,0
54638,55295,0,0
54601,55295,0,0
54563,55295,0,0
54526,55295,0,0
54489,55295,0,0
54452,55295,0,0
54415,55295,0,0
54378,55295,0,0
54341,55295,0,0
54304,55295,0,0
54267,55295,0,0
54230,55295,0,0
54193,55295,0,0
54157,55295,0,0
54120,55295,0,0
54083,55295,0,0
54047,55295,0,0
54010,55295,0,0
53974,55295,0,0
53938,55295,0,0
53901,55295,0,0
53865,55295,0,0
53829,55295,0,0
53793,55295,0,0
53757,55295,0,0
53722,55295,0,0
53686,55295,0,0
53650,55295,0,0
53615,55295,0,0
53579,55295,0,0
53544,55295,0,0
53509,55295,0,0
53474,55295,0,0
53439,55295,0,0
53409,55295,0,0
53388,55295,0,0
53387,55295,0,0
53406,55295,0,0
53450,55295,0,0
53519,55295,0,0
53589,55295,0,0
53658,55295,0,0
53728,55295,0,0
53797,55295,0,0
53866,55295,0,0
53936,55295,0,0
54006,55295,0,0
54075,55295,0,0
54145,55295,0,0
54214,55295,0,0
54284,55295,0,0
54354,55295,0,0
54423,55295,0,0
54493,55295,0,0
54563,55295,0,0
54632,55295,0,0
54702,55295,0,0
54772,55295,0,0
54842,55295,0,0
54911,55295,0,0
54981,55295,0,0
55051,55295,0,0
55120,55295,0,0
55190,55295,0,0
55260,55295,0,0
55329,55295,21760,0
55399,55295,65535,21759
55464,55295,65535,65535
55429,55295,65535,65535
