MW0,MW1,MW2,MW3,MW4,QW0,QW1,QW2,QW3,IW0,IW1,IW2,IW3,IW4,IW5,IW6,IW7,IW8,IW9,IW10
19660,30801,65295,31675,28835,53334,14364,33919,47664,61499,65535,14388,1221,0,0,45904,21293,65348,29011,30825
19660,30801,65295,31675,28835,24804,14313,65535,51154,41044,52574,14339,1217,65535,65535,49414,22908,65455,29009,30827
19660,30801,65295,31675,28835,4809,14287,65535,52874,24804,31771,14313,1215,65535,65535,51154,23659,65326,29007,30827
19660,30801,65295,31675,28835,0,14261,0,54574,4809,6159,14287,1213,65535,65535,52874,24392,65026,29005,30827
19660,30801,65295,31675,28835,58785,12496,46719,46464,64200,65535,12545,1065,5120,20050,44714,20743,65360,29010,30850
19660,30801,65295,31675,28835,35905,12397,65535,49934,49285,63130,12447,1056,65535,65535,48204,22336,65445,29008,30851
19660,30801,65295,31675,28835,18775,12346,45695,51654,35905,45991,12397,1052,65535,65535,49934,23086,65264,29007,30852
19660,30801,65295,31675,28835,55465,8625,60162,47174,62550,65535,8676,736,0,0,45424,21077,65389,29010,30852
19660,30801,65295,31675,28835,44370,8625,65535,48914,55465,65535,8676,736,65535,65535,47174,21879,65445,29009,30852
19660,30801,65295,31675,28835,29485,8522,65535,50644,44370,56834,8574,728,65535,65535,48914,22637,65380,29008,30853
19660,30801,65295,31675,28835,10870,8470,0,52364,29485,37767,8522,723,65535,65535,50644,23383,65103,29007,30853
19660,30801,65295,31675,28835,0,8470,0,54064,10869,13923,8522,723,65535,65535,52364,24116,64809,29005,30853
19660,30801,65295,31675,28835,60200,6312,45439,46134,64895,65535,6340,538,4480,17543,44404,20599,65359,29008,30829
19660,30801,65295,31675,28835,38860,6254,65535,49584,51465,65535,6283,533,65535,65535,47864,22181,65446,29007,30830
19660,30801,65295,31675,28835,22530,6225,50815,51294,38860,49776,6254,531,65535,65535,49584,22926,65272,29006,30830
19660,30801,65295,31675,28835,43354,7462,65535,49043,54709,65535,7465,633,65535,65535,47323,21931,65365,29007,30804
19660,30801,65295,31675,28835,28258,7459,55935,50753,43353,55533,7462,633,65535,65535,49043,22679,65280,29006,30804
19660,30801,65295,31675,28835,47500,10969,65535,48484,57580,65535,10965,931,65535,65535,46734,21676,65444,29010,30797
19660,30801,65295,31675,28835,33600,10972,65535,50224,47500,60843,10968,931,65535,65535,48484,22440,65387,29009,30797
19660,30801,65295,31675,28835,15940,10974,0,51954,33600,43038,10971,931,65535,65535,50224,23192,65114,29008,30798
19660,30801,65295,31675,28835,65535,13829,42240,42335,65535,65535,13839,1175,20480,65535,40605,18832,65329,29008,30811
19660,30801,65295,31675,28835,61780,13806,65535,45814,65535,65535,13818,1173,65535,65535,44074,20411,65343,29009,30813
19660,30801,65295,31675,28835,54209,13793,896,47554,61779,65535,13806,1172,65535,65535,45814,21174,65194,29009,30814
19660,30801,65295,31675,28835,65535,13668,65535,40077,65535,65535,13702,1163,65535,65535,38367,17798,65439,29006,30835
19660,30801,65295,31675,28835,65535,13633,65535,41797,65535,65535,13668,1160,65535,65535,40077,18553,65405,29007,30836
19660,30801,65295,31675,28835,65535,13597,0,43527,65535,65535,13633,1157,65535,65535,41797,19310,65145,29008,30837
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,6401,26480,31722
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,6499,26480,31723
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,6609,26480,31723
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,6705,26480,31724
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,6911,26481,31725
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,7012,26481,31726
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,7113,26482,31727
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,7208,26482,31727
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,7318,26482,31728
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,7416,26483,31729
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,7524,26483,31729
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,7622,26483,31730
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,7717,26484,31730
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,7824,26484,31731
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,7918,26484,31731
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,8027,26485,31732
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,8122,26485,31732
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,8231,26486,31732
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,8324,26486,31733
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,8436,26486,31733
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,8526,26487,31734
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,8636,26487,31734
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,8730,26488,31734
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,8826,26488,31735
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,8935,26489,31735
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,9030,26489,31735
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,9139,26490,31736
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,9235,26490,31736
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,9332,26491,31736
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,9428,26491,31737
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,9463,26491,31737
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,9564,26492,31737
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,9665,26492,31737
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,9765,26493,31738
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,9866,26493,31738
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,9966,26494,31738
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,10067,26494,31738
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,10244,26495,31738
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,10345,26496,31739
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,10437,26496,31739
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,10468,26497,31739
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,10568,26497,31739
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,10669,26498,31739
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,10769,26498,31740
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,10869,26499,31740
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,10969,26500,31740
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,11069,26500,31740
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,11169,26501,31740
19660,30801,55295,31675,28835,65535,0,0,0,65535,65535,0,0,0,0,0,0,11269,26502,31740
