IW7,QW0,IW0,MW0
6330,65535,65535,19660
6931,65535,65535,19660
7570,65535,65535,19660
8231,65535,65535,19660
8910,65535,65535,19660
9607,65535,65535,19660
11042,65535,65535,19660
11042,65535,65535,19660
12527,65535,65535,19660
12527,65535,65535,19660
13284,65535,65535,19660
14821,65535,65535,19660
15576,65535,65535,19660
16308,65535,65535,19660
17036,65535,65535,19660
17758,65535,65535,19660
18522,65535,65535,19660
19283,65535,65535,19660
20037,63650,65535,19660
20783,58035,63650,19660
21517,54365,63650,19660
22237,45150,58035,19660
22938,19475,35865,19660
23622,16055,35865,19660
24278,0,0,19660
24911,0,0,19660
25522,0,0,19660
26107,0,0,19660
26666,0,0,19660
27199,0,0,19660
27706,0,0,19660
27766,0,0,19660
27756,0,0,19660
27746,0,0,19660
27736,0,0,19660
27726,0,0,19660
27717,0,0,19660
27707,0,0,19660
27697,0,0,19660
27687,0,0,19660
27677,0,0,19660
27668,0,0,19660
27658,0,0,19660
27648,0,0,19660
27638,0,0,19660
27628,0,0,19660
27619,0,0,19660
27596,0,0,19660
27540,0,0,19660
27455,0,0,19660
27336,0,0,19660
27187,0,0,19660
27005,0,0,19660
26794,0,0,19660
26553,0,0,19660
26284,0,0,19660
25980,0,0,19660
25652,0,0,19660
25294,0,0,19660
24908,0,0,19660
24496,0,0,19660
24056,0,0,19660
23591,0,0,19660
23105,0,0,19660
22595,0,0,19660
22064,0,0,19660
21512,0,0,19660
20940,0,0,19660
20347,0,0,19660
19738,0,0,19660
19113,2735,0,19660
18475,8659,2734,19660
17823,17844,8659,19660
17159,33668,21163,19660
16490,49518,33668,19660
15816,65535,49518,19660
15138,65535,65535,19660
14454,65535,65535,19660
13765,65535,65535,19660
13075,65535,65535,19660
12380,65535,65535,19660
11684,65535,65535,19660
10991,65535,65535,19660
10302,65535,65535,19660
9616,65535,65535,19660
8937,65535,65535,19660
8265,65535,65535,19660
7601,65535,65535,19660
6949,65535,65535,19660
6314,65535,65535,19660
5689,65535,65535,19660
5081,65535,65535,19660
4493,65535,65535,19660
3925,65535,65535,19660
3378,65535,65535,19660
2852,65535,65535,19660
2350,65535,65535,19660
1872,65535,65535,19660
1424,65535,65535,19660
1005,65535,65535,19660
615,65535,65535,19660
254,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
12,65535,65535,19660
63,65535,65535,19660
148,65535,65535,19660
267,65535,65535,19660
420,65535,65535,19660
607,65535,65535,19660
829,65535,65535,19660
1084,65535,65535,19660
1371,65535,65535,19660
1688,65535,65535,19660
2037,65535,65535,19660
2414,65535,65535,19660
2819,65535,65535,19660
3261,65535,65535,19660
3733,65535,65535,19660
4235,65535,65535,19660
4764,65535,65535,19660
5319,65535,65535,19660
5895,65535,65535,19660
6498,65535,65535,19660
7122,65535,65535,19660
7769,65535,65535,19660
8434,65535,65535,19660
9121,65535,65535,19660
9813,65535,65535,19660
10502,65535,65535,19660
11201,65535,65535,19660
11910,65535,65535,19660
12654,65535,65535,19660
13412,65535,65535,19660
14175,65535,65535,19660
14943,65535,65535,19660
15716,65535,65535,19660
16491,65535,65535,19660
17266,65535,65535,19660
18038,65535,65535,19660
18807,65535,65535,19660
19568,65535,65535,19660
20321,62230,65535,19660
21037,55344,62229,19660
21710,45094,55344,19660
22365,31569,45094,19660
23000,14869,31569,19660
23674,0,14869,19660
24323,0,0,19660
24944,0,0,19660
25544,0,0,19660
26121,0,0,19660
26673,0,0,19660
27196,0,0,19660
27647,0,0,19660
27637,0,0,19660
27628,0,0,19660
27618,0,0,19660
27608,0,0,19660
27598,0,0,19660
27589,0,0,19660
27579,0,0,19660
27569,0,0,19660
27559,0,0,19660
27550,0,0,19660
27540,0,0,19660
27530,0,0,19660
27521,0,0,19660
27511,0,0,19660
27501,0,0,19660
27492,0,0,19660
27457,0,0,19660
27388,0,0,19660
27291,0,0,19660
27160,0,0,19660
26999,0,0,19660
26806,0,0,19660
26583,0,0,19660
