MW0,MW1,MW2,MW3,MW4,QW0,QW1,QW2,QW3,IW0,IW1,IW2,IW3,IW4,IW5,IW6,IW7,IW8,IW9,IW10
19660,30801,55295,31675,28835,65535,0,0,65535,0,0,0,0,0,0,65291,27637,54802,28892,31431
19660,30801,55295,31675,28835,65535,0,0,65535,0,0,0,0,0,0,65535,27730,54764,28885,31430
19660,30801,55295,31675,28835,65535,0,0,65535,0,0,0,0,0,0,65535,27720,54726,28878,31429
19660,30801,55295,31675,28835,65535,0,0,65535,0,0,0,0,0,0,65535,27710,54688,28871,31428
19660,30801,55295,31675,28835,65535,0,0,65535,0,0,0,0,0,0,65535,27700,54650,28863,31427
19660,30801,55295,31675,28835,65535,0,0,65535,0,0,0,0,0,0,65535,27690,54611,28856,31426
19660,30801,55295,31675,28835,65535,0,0,65535,0,0,0,0,0,0,65535,27680,54573,28849,31425
19660,30801,55295,31675,28835,65535,0,0,65535,0,0,0,0,0,0,65535,27670,54535,28842,31424
19660,30801,55295,31675,28835,65535,0,0,65525,0,0,0,0,0,0,65535,27660,54497,28834,31424
19660,30801,55295,31675,28835,65535,0,0,65445,0,0,0,0,0,0,65525,27645,54459,28827,31423
19660,30801,55295,31675,28835,65535,0,0,65535,0,0,0,0,0,0,65338,27701,54973,28931,31375
19660,30801,55295,31675,28835,65535,0,0,65535,0,0,0,0,0,0,65535,27775,54935,28924,31374
19660,30801,55295,31675,28835,65535,0,0,65535,0,0,0,0,0,0,65535,27765,54897,28917,31373
19660,30801,55295,31675,28835,65535,0,0,65535,0,0,0,0,0,0,65535,27755,54858,28910,31372
19660,30801,55295,31675,28835,65535,0,0,65535,0,0,0,0,0,0,65535,27744,54820,28903,31371
19660,30801,55295,31675,28835,65535,0,0,65535,0,0,0,0,0,0,65535,27734,54782,28895,31370
19660,30801,55295,31675,28835,65535,0,0,65535,0,0,0,0,0,0,65535,27724,54743,28888,31369
19660,30801,55295,31675,28835,65535,0,0,65535,0,0,0,0,0,0,65535,27714,54705,28881,31369
19660,30801,55295,31675,28835,65535,0,0,65535,0,0,0,0,0,0,65535,27704,54667,28874,31368
19660,30801,55295,31675,28835,65535,0,0,65535,0,0,0,0,0,0,65535,27684,54591,28859,31366
19660,30801,55295,31675,28835,65535,0,0,65535,0,0,0,0,0,0,65535,27674,54553,28852,31365
19660,30801,55295,31675,28835,65535,0,0,65535,0,0,0,0,0,0,65535,27664,54515,28845,31364
19660,30801,55295,31675,28835,65535,0,0,65535,0,0,0,0,0,0,65535,27654,54477,28837,31363
19660,30801,55295,31675,28835,65535,0,0,65485,0,0,0,0,0,0,65535,27644,54439,28830,31362
19660,30801,55295,31675,28835,65535,0,0,65535,0,0,0,0,0,0,65535,27762,54925,28935,31319
19660,30801,55295,31675,28835,65535,0,0,65535,0,0,0,0,0,0,65535,27762,54886,28927,31318
