Violation: Sample 51: ['QW0$$65535', 'IW7$$27637'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 56: ['QW0$$65535', 'IW7$$27690'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 57: ['QW0$$65535', 'IW7$$27680'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 58: ['QW0$$65535', 'IW7$$27670'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 59: ['QW0$$65535', 'IW7$$27660'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 60: ['QW0$$65535', 'IW7$$27645'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 185: ['QW0$$65535', 'IW7$$27684'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 186: ['QW0$$65535', 'IW7$$27674'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 187: ['QW0$$65535', 'IW7$$27664'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 188: ['QW0$$65535', 'IW7$$27654'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 189: ['QW0$$65535', 'IW7$$27644'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 313: ['QW0$$65535', 'IW7$$27682'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 314: ['QW0$$65535', 'IW7$$27672'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 315: ['QW0$$65535', 'IW7$$27662'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 316: ['QW0$$65535', 'IW7$$27652'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
