MW0,MW1,MW2,MW3,MW4,QW0,QW1,QW2,QW3,IW0,IW1,IW2,IW3,IW4,IW5,IW6,IW7,IW8,IW9,IW10
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24974,44808,65535,30975
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24966,44781,65535,30974
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24958,44753,65535,30973
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24950,44725,65535,30972
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24942,44698,65535,30971
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24934,44670,65535,30970
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24926,44643,65535,30969
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24918,44615,65535,30968
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24910,44587,65535,30967
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24902,44560,65535,30966
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24894,44533,65535,30965
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24886,44505,65535,30964
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24878,44478,65535,30963
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24869,44450,65535,30962
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24861,44423,65535,30961
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24853,44396,65535,30960
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24845,44368,65535,30959
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24837,44341,65535,30958
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24829,44314,65535,30957
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24821,44287,65535,30955
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24814,44260,65535,30954
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24806,44232,65535,30953
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24798,44205,65535,30952
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24790,44178,65535,30951
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24782,44151,65535,30950
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24774,44124,65535,30949
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24766,44097,65535,30948
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24758,44070,65535,30947
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24750,44043,65535,30946
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24742,44016,65535,30945
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24734,43989,65535,30944
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24726,43963,65535,30943
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24718,43936,65535,30942
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24710,43908,65535,30941
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24702,43882,65535,30940
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24694,43855,65535,30939
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24686,43829,65535,30938
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24679,43802,65535,30937
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24671,43775,65535,30935
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24663,43748,65535,30934
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24655,43722,65535,30933
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24647,43695,65535,30932
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24639,43669,65535,30931
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24631,43642,65535,30930
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24623,43616,65535,30929
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24616,43589,65535,30928
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24608,43563,65535,30927
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24600,43536,65535,30926
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24592,43510,65535,30925
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24584,43483,65535,30924
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24576,43457,65535,30923
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24569,43431,65535,30922
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24553,43404,65535,30921
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24545,43378,65535,30919
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24537,43352,65535,30918
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24530,43299,65535,30916
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24522,43273,65535,30915
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24514,43247,65535,30914
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24506,43221,65535,30913
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24499,43195,65535,30912
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24491,43169,65535,30911
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24483,43142,65535,30910
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24475,43117,65535,30909
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24468,43091,65535,30908
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24460,43065,65535,30907
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24452,43039,65535,30906
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24444,43013,65535,30905
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24437,42987,65535,30904
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24429,42961,65535,30903
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24421,42935,65535,30902
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24413,42909,65535,30901
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24406,42884,65535,30900
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24398,42858,65535,30899
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24390,42832,65535,30897
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24383,42806,65535,30896
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24375,42781,65535,30895
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24367,42755,65535,30894
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24360,42729,65535,30893
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24352,42704,65535,30892
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24344,42678,65535,30891
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24337,42653,65535,30890
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24329,42627,65535,30889
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24321,42602,65535,30888
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24314,42576,65535,30887
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24306,42551,65535,30886
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24298,42525,65535,30885
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24291,42500,65535,30884
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24283,42474,65535,30883
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24276,42449,65535,30882
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24268,42424,65535,30880
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24260,42398,65535,30879
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24253,42373,65535,30878
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24245,42348,65535,30877
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24238,42323,65535,30876
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24230,42297,65535,30875
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24222,42272,65535,30874
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24215,42247,65535,30873
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24207,42222,65535,30872
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24200,42197,65535,30871
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24192,42172,65535,30870
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24184,42147,65535,30869
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24177,42122,65535,30868
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24169,42097,65535,30867
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24162,42072,65535,30866
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24154,42047,65535,30865
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24147,42022,65535,30863
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24139,41997,65535,30862
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24132,41972,65535,30861
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24124,41947,65535,30860
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24117,41922,65535,30859
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24109,41898,65535,30858
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24102,41873,65535,30857
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24094,41848,65535,30856
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24087,41823,65535,30855
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24079,41798,65535,30854
19660,30801,55295,31675,28835,0,0,0,65535,0,0,0,0,0,0,65535,24072,41774,65535,30853
