Violation: Sample 4224: ['QW0$$25625', 'IW7$$27642'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 4228: ['QW0$$25380', 'IW7$$27691'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 4255: ['QW0$$25475', 'IW7$$27672'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 4257: ['QW0$$25395', 'IW7$$27688'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 4270: ['QW0$$25615', 'IW7$$27644'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 4280: ['QW0$$25575', 'IW7$$27652'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 4301: ['QW0$$25395', 'IW7$$27688'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 4837: ['QW0$$25425', 'IW7$$27682'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 4228: ['QW0$$25380', 'IW7$$27691'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4231: ['QW0$$25215', 'IW7$$27724'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4236: ['QW0$$25135', 'IW7$$27740'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4239: ['QW0$$25135', 'IW7$$27740'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4244: ['QW0$$25185', 'IW7$$27730'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4255: ['QW0$$25475', 'IW7$$27672'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4257: ['QW0$$25395', 'IW7$$27688'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4259: ['QW0$$25315', 'IW7$$27704'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4291: ['QW0$$25310', 'IW7$$27705'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4295: ['QW0$$25315', 'IW7$$27704'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4301: ['QW0$$25395', 'IW7$$27688'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4303: ['QW0$$25310', 'IW7$$27705'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4309: ['QW0$$25260', 'IW7$$27715'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4311: ['QW0$$25170', 'IW7$$27733'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4313: ['QW0$$25085', 'IW7$$27750'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4323: ['QW0$$24880', 'IW7$$27791'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4347: ['QW0$$24910', 'IW7$$27785'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4349: ['QW0$$24895', 'IW7$$27788'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4356: ['QW0$$24920', 'IW7$$27783'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4369: ['QW0$$24905', 'IW7$$27786'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4416: ['QW0$$25090', 'IW7$$27749'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4457: ['QW0$$24920', 'IW7$$27783'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4485: ['QW0$$24910', 'IW7$$27785'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4497: ['QW0$$24910', 'IW7$$27785'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4551: ['QW0$$24970', 'IW7$$27773'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4567: ['QW0$$24885', 'IW7$$27790'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4579: ['QW0$$24900', 'IW7$$27787'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4590: ['QW0$$24975', 'IW7$$27772'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4606: ['QW0$$24880', 'IW7$$27791'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4630: ['QW0$$24975', 'IW7$$27772'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4646: ['QW0$$24895', 'IW7$$27788'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4658: ['QW0$$24960', 'IW7$$27775'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4674: ['QW0$$24935', 'IW7$$27780'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4699: ['QW0$$24975', 'IW7$$27772'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4702: ['QW0$$24970', 'IW7$$27773'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4718: ['QW0$$24935', 'IW7$$27780'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4758: ['QW0$$24910', 'IW7$$27785'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4770: ['QW0$$24940', 'IW7$$27779'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4783: ['QW0$$25250', 'IW7$$27717'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4787: ['QW0$$25245', 'IW7$$27718'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4789: ['QW0$$25170', 'IW7$$27733'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4793: ['QW0$$25170', 'IW7$$27733'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4796: ['QW0$$25135', 'IW7$$27740'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4798: ['QW0$$25025', 'IW7$$27762'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4802: ['QW0$$24905', 'IW7$$27786'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4814: ['QW0$$24975', 'IW7$$27772'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4837: ['QW0$$25425', 'IW7$$27682'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4839: ['QW0$$25340', 'IW7$$27699'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4843: ['QW0$$25100', 'IW7$$27747'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4846: ['QW0$$25070', 'IW7$$27753'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4850: ['QW0$$25070', 'IW7$$27753'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4867: ['QW0$$24930', 'IW7$$27781'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4883: ['QW0$$24890', 'IW7$$27789'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4895: ['QW0$$24950', 'IW7$$27777'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4921: ['QW0$$25040', 'IW7$$27759'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4926: ['QW0$$25140', 'IW7$$27739'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4927: ['QW0$$25140', 'IW7$$27739'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4956: ['QW0$$25090', 'IW7$$27749'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4959: ['QW0$$25050', 'IW7$$27757'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4961: ['QW0$$24970', 'IW7$$27773'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4963: ['QW0$$24885', 'IW7$$27790'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4968: ['QW0$$24930', 'IW7$$27781'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4973: ['QW0$$24985', 'IW7$$27770'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4975: ['QW0$$24905', 'IW7$$27786'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 4991: ['QW0$$24920', 'IW7$$27783'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 5010: ['QW0$$25050', 'IW7$$27757'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 5012: ['QW0$$24995', 'IW7$$27768'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 5055: ['QW0$$25145', 'IW7$$27738'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 5058: ['QW0$$25100', 'IW7$$27747'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 5108: ['QW0$$24895', 'IW7$$27788'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
