MW0,MW1,MW2,MW3,MW4,QW0,QW1,QW2,QW3,IW0,IW1,IW2,IW3,IW4,IW5,IW6,IW7,IW8,IW9,IW10
19660,30801,65295,31675,28835,65535,2298,0,18661,65535,65535,2284,193,0,0,20231,8491,53847,28678,30787
19660,30801,65295,31675,28835,65535,2312,0,17121,65535,65535,2298,195,0,0,18661,7837,53917,28681,30787
19660,30801,65295,31675,28835,65535,2325,0,15611,65535,65535,2312,196,0,0,17121,7195,53987,28684,30788
19660,30801,65295,31675,28835,65535,2337,0,14140,65535,65535,2325,197,0,0,15610,6565,54056,28688,30789
19660,30801,65295,31675,28835,65535,2348,0,12700,65535,65535,2337,198,0,0,14140,5950,54126,28691,30790
19660,30801,65295,31675,28835,65535,2358,0,11310,65535,65535,2348,199,0,0,12700,5348,54196,28696,30791
19660,30801,65295,31675,28835,65535,2368,0,9960,65535,65535,2358,200,0,0,11310,4766,54266,28700,30791
19660,30801,65295,31675,28835,65535,2377,0,8660,65535,65535,2368,201,0,0,9960,4199,54336,28705,30792
19660,30801,65295,31675,28835,65535,2385,0,7420,65535,65535,2377,201,0,0,8660,3654,54405,28711,30793
19660,30801,65295,31675,28835,65535,2392,0,6230,65535,65535,2385,202,0,0,7420,3133,54475,28716,30794
19660,30801,65295,31675,28835,65535,2399,0,5100,65535,65535,2392,203,0,0,6230,2632,54545,28722,30794
19660,30801,65295,31675,28835,65535,2405,0,4040,65535,65535,2399,203,0,0,5100,2156,54615,28729,30795
19660,30801,65295,31675,28835,65535,2410,0,3040,65535,65535,2405,204,0,0,4040,1709,54685,28735,30796
19660,30801,65295,31675,28835,65535,2414,0,2110,65535,65535,2410,204,0,0,3040,1287,54755,28742,30797
19660,30801,65295,31675,28835,65535,2418,0,1250,65535,65535,2414,204,0,0,2110,893,54824,28749,30797
19660,30801,65295,31675,28835,65535,2421,0,470,65535,65535,2418,205,0,0,1250,529,54894,28757,30798
19660,30801,65295,31675,28835,65535,2423,0,0,65535,65535,2421,205,0,0,470,199,54964,28764,30799
19660,30801,65295,31675,28835,65535,2424,0,0,65535,65535,2423,205,0,0,0,0,55034,28772,30800
19660,30801,65295,31675,28835,65535,2425,0,0,65535,65535,2424,205,0,0,0,0,55104,28780,30800
19660,30801,65295,31675,28835,65535,2425,0,0,65535,65535,2425,205,0,0,0,0,55173,28788,30801
19660,30801,65295,31675,28835,65535,2424,0,0,65535,65535,2425,205,0,0,0,0,55243,28797,30802
19660,30801,65295,31675,28835,65535,2423,0,0,65535,65535,2424,205,0,0,0,0,55362,28811,30802
19660,30801,65295,31675,28835,65535,2421,0,0,65535,65535,2423,205,0,0,0,0,55430,28819,30803
19660,30801,65295,31675,28835,65535,2418,0,0,65535,65535,2421,205,0,0,0,0,55494,28826,30804
19660,30801,65295,31675,28835,65535,2415,0,0,65535,65535,2418,205,0,0,0,0,55555,28834,30804
19660,30801,65295,31675,28835,65535,2411,0,30,65535,65535,2415,205,0,0,0,0,55590,28838,30805
19660,30801,65295,31675,28835,65535,2406,0,189,65535,65535,2411,204,0,0,29,12,55700,28851,30806
19660,30801,65295,31675,28835,65535,2400,0,439,65535,65535,2406,204,0,0,189,80,55774,28860,30807
19660,30801,65295,31675,28835,65535,2394,0,719,65535,65535,2400,203,0,0,439,187,55798,28863,30807
19660,30801,65295,31675,28835,65535,2387,0,1079,65535,65535,2394,203,0,0,719,307,55867,28871,30808
19660,30801,65295,31675,28835,65535,2379,0,1519,65535,65535,2387,202,0,0,1079,461,55936,28879,30809
19660,30801,65295,31675,28835,65535,2371,0,2049,65535,65535,2379,202,0,0,1519,650,56005,28888,30809
19660,30801,65295,31675,28835,65535,2362,0,2659,65535,65535,2371,201,0,0,2049,878,56073,28896,30810
19660,30801,65295,31675,28835,65535,2352,0,3348,65535,65535,2362,200,0,0,2658,1140,56143,28904,30811
19660,30801,65295,31675,28835,65535,2342,0,4118,65535,65535,2352,199,0,0,3348,1436,56211,28912,30811
19660,30801,65295,31675,28835,65535,2331,0,5038,65535,65535,2342,198,0,0,4118,1767,56346,28927,30812
19660,30801,65295,31675,28835,65535,2320,0,5958,65535,65535,2331,197,0,0,5038,2164,56348,28927,30812
19660,30801,65295,31675,28835,65535,2308,0,6948,65535,65535,2320,197,0,0,5958,2561,56416,28934,30813
19660,30801,65295,31675,28835,65535,2295,0,8018,65535,65535,2308,195,0,0,6948,2989,56484,28942,30814
19660,30801,65295,31675,28835,65535,2282,0,9158,65535,65535,2295,194,0,0,8018,3451,56552,28949,30814
19660,30801,65295,31675,28835,65535,2268,0,10368,65535,65535,2282,193,0,0,9158,3945,56620,28956,30815
19660,30801,65295,31675,28835,65535,2253,0,11638,65535,65535,2268,192,0,0,10368,4469,56688,28962,30816
19660,30801,65295,31675,28835,65535,2237,0,14378,65535,65535,2253,191,0,0,12978,5601,56824,28975,30817
19660,30801,65295,31675,28835,65535,2222,0,14378,65535,65535,2238,190,0,0,12978,5601,56824,28975,30817
19660,30801,65295,31675,28835,65535,2206,0,15828,65535,65535,2222,188,0,0,14378,6209,56891,28980,30817
19660,30801,65295,31675,28835,65535,2189,0,17338,65535,65535,2189,185,0,0,17338,7496,57025,28991,30819
19660,30801,65295,31675,28835,65535,2153,0,20508,65535,65535,2171,184,0,0,18898,8175,57092,28996,30819
19660,30801,65295,31675,28835,65535,2134,0,22158,65535,65535,2153,182,0,0,20508,8877,57159,29000,30820
